downunderctf24-faulty-kernel,['pwn'],justk1r4,2024-07-06 18:51:17.540000
blackhatmea24-notey,['web'],"luc_f3r, z_pacifist, luc_f3r, ma1f0y_, alfin3313",2024-09-01 20:55:24.422000
justctf23-extra_safe_security_layers,['web'],"Aneesh, Lu513n",2023-06-03 15:39:49.527000
csawfinals22-polly-crack-this,crypto,"LS, victim1307",2022-11-11 03:14:43.519000
htbcactf24-rocket-blaster,['pwn'],"silence_, b4tmite, heartstoller",2024-03-09 20:02:06.081000
lactf23-85_reasons_why,web,"L0xm1, Z_Pacifist",2023-02-11 22:48:56.282000
midnightsunquals21-shapes,pwn,"DarkKnight, sourag, Pwn_Solo, Ritvik",2021-04-10 16:02:04.384000
ugractf24-uzh,['misc'],"sherlockcheezu, the.m3chanic, amunrha",2024-02-11 06:09:42.379000
csawquals24-the_triple_illusion,['forensics'],"azr43lkn1ght, kr4z31n, rudraagh, sans8475, gh0stkn1ght, jl_24",2024-09-06 22:13:44.208000
ironctf-team1-loan_app,['web'],exigent07,2024-10-05 19:21:46.507000
byuctf24-static,['pwn'],"silence_, heartstoller",2024-05-17 13:22:15.766000
byuctf24-give_up,['crypto'],"hisoka.fr, sans8475, the.m3chanic",2024-05-17 18:16:41.370000
backdoorctf23-indecipherable-image-or-is-it,['misc'],"jl_24, ls.exe, sp3p3x, gh0stkn1ght",2023-12-17 00:30:41.441000
asisquals21-strvec,pwn,"DarkKnight, sourag",2021-10-23 12:45:23.735000
zer0ptsctf23-ringtone,['web'],Az3z3l,2023-07-16 03:17:16.935000
amateursctf24-cherry-blossoms,['osint'],silence_,2024-04-06 20:41:32.503000
hitconctf24-no-exit-room,['web'],570rmbreaker,2024-07-14 09:12:20.231000
tjctf24-cowsay,['pwn'],heartstoller,2024-05-18 01:32:53.990000
csaw-quals23-philantrophy,['web'],"luc_f3r, z_pacifist",2023-09-16 14:08:58.524000
securinetsquals22-memory,pwn,DarkKnight,2022-04-10 15:40:37.929000
amaturectf23-elfcrafting-v1,['pwn'],tourpran,2023-07-17 12:12:44.168000
cryptoctf21-symbols,crypto,"Rithvik, Abhishek Bharadwaj",2021-07-31 19:21:59.834000
amaturectf23-non-quadratic_residues,['crypto'],"Sans, ___apn___, _d1sc0",2023-07-18 13:26:21.883000
byuctf24-triple_whammy,['web'],"alfin3313, ma1f0y_, h3ri0s, k0w4lzk1",2024-05-18 18:54:59.857000
htbunictf21-goodgames-user,misc,InvictusGamer,2021-11-20 18:11:11.553000
umdctf24-padding_oracle,['crypto'],"___apn___, aerosol., sans8475",2024-04-27 15:52:57.883000
ctfzone-quals23-pongo2,['pwn'],"tourpran, _r0r1_, spektr.e, justk1r4",2023-08-12 17:19:57.817000
corctf23-force,['web'],"win.ters, lu513n, ma1f0y_, luc_f3r",2023-07-30 16:34:41.859000
crewctf23-quirky,['forensics'],"w31rd5h4rk, gh0stkn1ght, jl911",2023-07-09 20:39:03.017000
hacklu-linearstarter,crypto,LS,2022-10-28 22:26:03.728000
thesascon24-ubercaged,['pwn'],"tourpran, justk1r4, spektr.e",2024-05-19 17:07:51.495000
umassctf24-third_times_the_charm,['crypto'],aerosol.,2024-04-20 05:02:39.996000
angstromctf24-evilplatform,['web'],"z_pacifist, k0w4lzk1, lu513n",2024-05-27 01:23:49.329000
hackimctf23-u_do_pee,['misc'],sh.4rk,2023-08-19 14:04:51.518000
backdoorctf23-pizzeria,['pwn'],"justk1r4, _r0r1_, jarvis",2023-12-16 20:10:56.931000
umdctf23-noisy-bits,['crypto'],"Sans, d1sc0, Hisoka",2023-04-30 22:17:06.849000
cybrics21-multichat,web,Az3z3l,2021-07-24 15:49:22.492000
cryptoctf23-aslv1,['crypto'],"hisoka.fr, ls.exe",2023-07-08 14:32:15.987000
htbcactf24-makeshift,['crypto'],aerosol.,2024-03-09 20:26:55.024000
tjctf24-assume,['crypto'],sans8475,2024-05-18 03:02:15.941000
hacktheon-quals24-findiff,['pwn'],"justk1r4, tourpran, _r0r1_, silence_, spektr.e, heartstoller",2024-04-27 07:09:29.865000
cybermimic23-funweb,['web'],ma1f0y_,2023-12-07 14:07:18.248000
b01lersctf24-shamir_for_dummies,['crypto'],"hisoka.fr, sans8475, ls.exe",2024-04-14 23:46:04.690000
hackasat-quals23-smash-baby,['pwn'],"tourpran, spektre, fr1gh7",2023-04-02 21:36:00.986000
greyctf23-arraystore,['pwn'],tourpran,2023-05-20 00:26:42.823000
codegatectf24-ai_warmup,['ai'],"silence_, lu513n, kr4z31n, rudraagh",2024-06-01 19:17:01.892000
umdctf23-ports,['misc'],"Azr43lKn1ght, sp3p3x, w3!rd5h4rk",2023-04-30 12:53:49.627000
squarectf22-ez-re-1,reverse,retr0ds,2022-11-19 09:52:48.821000
angstromctf23-impossible,['crypto'],"dhN, Sans, APN",2023-04-22 12:52:49.283000
imaginaryctf24-bank,['misc'],"silence_, komalrao",2024-07-20 21:21:26.892000
hsctf23-revrevrev,['reverse'],tourpran,2023-06-06 16:58:24.971000
uiuctf24-without-a-trace,['crypto'],___apn___,2024-06-29 08:58:48.744000
umdctf24-literally_arrakis_ii,['osint'],"silence_, heartstoller, rudraagh, kr4z31n, __m1m1__",2024-04-27 08:30:35.370000
defcamp-quals23-4aes,['crypto'],hisoka.fr,2023-10-20 18:47:31.976000
thesascon24-signed-message,['misc'],"justk1r4, silence_, heartstoller",2024-05-19 00:29:13.302000
angstromctf24-beyond,['reverse'],sherlockcheezu,2024-05-26 15:35:03.357000
htbunictf21-outoftime,misc,Hyperi0n,2021-11-20 17:08:59.908000
midnightsunquals21-murmur,reverse,"Freakston, D3v1L, AmunRha, Vishnu Madhav",2021-04-10 01:44:00.989000
boilersctf21-lorem_ipsum,web,"yadhuz, Sayooj_B_Kumar, Captain-kay, Sk4d00.sh, Az3z3l",2021-04-04 14:01:07.041000
tamuctf24-flipped,['web'],"winters0x168, ___apn___",2024-04-06 09:24:04.527000
vikectf24-hidden_valor,['misc'],"its_me_ask, heartstoller, j0dh7",2024-03-09 10:41:36.773000
umd22-tiny,reverse,"AmunRha, fug1t1ve",2022-03-05 13:41:36.075000
idekctf24-gambler,['pwn'],silence_,2024-08-18 00:24:12.640000
umassctf24-mitigations,['pwn'],_r0r1_,2024-04-21 22:12:30.613000
nahamcon-ctf23-starwars,['web'],"z_pacifist, L0xm1",2023-06-16 17:23:11.587000
hsctf21-stonks,pwn,arsenelupwn,2021-06-15 09:39:17.159000
tjctf24-minisculest,['forensics'],"kr4z31n, 5h4rrk, gh0stkn1ght, rudraagh, __m1m1__",2024-05-19 21:53:46.785000
byuctf24-all,['pwn'],silence_,2024-05-17 13:21:53.225000
squarectf23-encrcroach,"['crypto', 'web']",ls.exe,2023-11-18 06:37:03.660000
securinets23-admin-service,['pwn'],justk1r4,2023-08-06 23:31:26.996000
htbcactf24-labyrinth,['web'],"r0h1t.pxh, k0w4lsk1_, exigent07",2024-03-10 13:26:21.826000
midnightsun23-meme-control,['pwn'],k1R4,2023-04-08 18:55:14.668000
seetf23-express_javascript_security,['web'],"Aneesh, Winters",2023-06-10 12:32:41.121000
idekctf24-golden_ticket,['crypto'],hisoka.fr,2024-08-17 17:47:11.294000
mapnactf24-ninipwn,['pwn'],silence_,2024-01-21 18:13:45.341000
umdctf23-bulbeuler,['crypto'],Hisoka,2023-04-29 20:25:20.331000
downunderctf24-intercepted_transmissions,['misc'],"hrippi.x_, kr4z31n, .d_pro, __m1m1__",2024-07-06 19:29:49.503000
redpwn21-requester,web,"Aneesh, Rohit Narayanan M, Captain-kay, Sk4d00.sh",2021-07-12 12:11:26.436000
idekctf24-a_silence_of_three_parts,['pwn'],"_r0r1_, spektr.e",2024-08-19 04:10:22.036000
squarectf22-right_there,reverse,"retr0ds, Barla Abhishek",2022-11-19 20:53:35.030000
uoftctf24-guestbook,['web'],ma1f0y_,2024-01-14 00:02:35.450000
ritsec21-apt_interference,misc,"4D!TY4, Abhishek S",2021-04-12 10:47:26.627000
