Challenge Name,Category,Solved/Attempted by,Solve time
ictf24-distributed_training,['pwn'],"silence_, spektr.e",2024-11-17 00:05:59.263000
ictf24-linear-labyrinth,['misc'],"silence_, spektr.e, ___apn___, justk1r4, 5h4rrk, sans8475, arch_zero, the.m3chanic, retr0ds, z_pacifist, lu513n, xbr01, ls.exe, heartstoller, k0w4lzk1, tourpran, kr4z31n, gh0stkn1ght, winters0x168, hisoka.fr",Nil
ictf24-ocr-searcher,['misc'],"silence_, spektr.e",2024-11-17 07:59:46.213000
ictf24-overpass,['osint'],"silence_, ls.exe, hisoka.fr, spektr.e",2024-11-19 18:53:05.258000
ictf24-babychecker-revenge,['web'],"z_pacifist, exigent07, luc_f3r, k0w4lzk1, winters0x168",2024-11-18 13:30:33.039000
ictf24-hackchatai,['web'],"z_pacifist, winters0x168, k0w4lzk1, luc_f3r",2024-11-18 13:29:43.158000
ictf24-what-the-waaaaf,['web'],"winters0x168, k0w4lzk1, luc_f3r, the.m3chanic, z_pacifist, lu513n, xbr01, silence_, tourpran, heartstoller, kr4z31n, gh0stkn1ght, ___apn___, sans8475",Nil
ictf24-poppy,['misc'],"silence_, spektr.e",2024-11-18 14:27:41.360000
ictf24-encrypted_ai,['ai'],silence_,2024-11-18 14:42:43.833000
ictf24-boing,['web'],"z_pacifist, luc_f3r, winters0x168, xbr01, exigent07, k0w4lzk1, the.m3chanic, silence_, tourpran, heartstoller, kr4z31n, gh0stkn1ght, lu513n, ___apn___, sans8475",Nil
ictf24-aimemo,['pwn'],"silence_, spektr.e",2024-11-19 15:27:05.347000
ictf24-mysterious-model,['misc'],silence_,2024-11-19 15:44:31.587000
ictf24-mayor-setter,['pwn'],"silence_, heartstoller",2024-11-20 14:18:47.863000
ictf24-pcapc-or-it-didnt-happen,['forensics'],silence_,2024-11-20 14:33:35.670000
ictf24-unencrypt-me,['ai'],silence_,2024-11-20 14:29:11.360000
ictf24-unmask-the-trigger,['ai'],"silence_, heartstoller, k0w4lzk1, the.m3chanic, tourpran, kr4z31n, gh0stkn1ght, ___apn___, sans8475, winters0x168",Nil
ictf24-hidden-in-code,['forensics'],silence_,2024-11-22 01:02:32.805000
ictf24-the_calabrian_programmer,['misc'],silence_,2024-11-21 19:45:33.530000
ictf24-doppelganger-deception,['forensics'],silence_,2024-11-22 01:02:34.312000
ictf24-where-is-my-pin,['forensics'],"gh0stkn1ght, kr4z31n, azr43lkn1ght",2024-11-22 15:09:49.898000
ictf24-invisiblepdflag,['misc'],silence_,2024-11-22 09:20:04.399000
ictf24-bad-interpreter,['pwn'],silence_,2024-11-22 09:27:38.467000
ictf24-know-it-all,['pwn'],silence_,2024-11-22 09:29:08.466000
ictf24-riddle-me-this,['misc'],silence_,2024-11-22 09:33:03.430000
ictf24-what_the_waaaaf-2,['web'],"k0w4lzk1, silence_, heartstoller, kr4z31n, z_pacifist, luc_f3r, gh0stkn1ght, lu513n, ___apn___, sans8475, winters0x168",Nil
