Challenge Name,Category,Solved/Attempted by,Solve time
ctfzonequals24-youtube_unlock,['web'],"exigent07, k0w4lzk1, h3ri0s, exigent07, luc_f3r",2024-08-11 11:34:27.458000
ctfzonequals24-loginator,['pwn'],"theb4tmite, justk1r4, heartstoller, _r0r1_, tourpran, silence_, spektr.e",Nil
ctfzonequals24-wasminator,['pwn'],"spektr.e, justk1r4, heartstoller, _r0r1_, tourpran, silence_, theb4tmite",Nil
ctfzonequals24-exitinator,['reverse'],"the.m3chanic, retr0ds",2024-08-11 03:01:18.939000
ctfzonequals24-0ld_b4t_g0ld,['web'],"k0w4lzk1, h3ri0s, alfin3313, 570rmbreaker, heartstoller, exigent07, z_pacifist, winters0x168, luc_f3r",Nil
ctfzonequals24-unfree,['pwn'],"tourpran, _r0r1_",2024-08-10 22:37:40.175000
ctfzonequals24-cold_siemens,['crypto'],"___apn___, aerosol., hisoka.fr, sans8475, arch_zero",Nil
ctfzonequals24-crackme,['reverse'],"retr0ds, heartstoller, k1n0r4, the.m3chanic, spektr.e, theb4tmite, sherlockcheezu, tourpran, silence_",Nil
ctfzonequals24-shes_the_real_one,['crypto'],sans8475,2024-08-11 04:28:34.461000
ctfzonequals24-losing_information,['forensics'],"jl_24, kr4z31n",Nil
ctfzonequals24-breathtaking_roulette,['web'],"exigent07, k0w4lzk1, h3ri0s, winters0x168, luc_f3r",2024-08-10 19:36:29.305000
ctfzonequals24-cube-sounds,['hardware'],heartstoller,2024-08-10 17:58:26.738000
ctfzonequals24-silent-drm,['reverse'],"the.m3chanic, sherlockcheezu",2024-08-11 04:15:25.122000
ctfzonequals24-pontius,['pwn'],"tourpran, heartstoller, spektr.e, silence_, theb4tmite",Nil
ctfzonequals24-ponpy,['pwn'],"heartstoller, tourpran, theb4tmite, silence_, _r0r1_",Nil
ctfzonequals24-youtube_unlock_revenge,['web'],exigent07,2024-08-11 11:43:11.260000
ctfzonequals24-funny_buttons,['web'],"luc_f3r, exigent07, winters0x168, k0w4lzk1",Nil
