Challenge Name,Category,Solved/Attempted by,Solve time
defconquals24-libprce3,['pwn'],"tourpran, heartstoller, spektr.e, justk1r4, jatin.exe, retr0ds, silence_, _r0r1_, theb4tmite, arch_zero, 570rmbreaker, z_pacifist, winters0x168, k0w4lzk1, h3ri0s, aerosol., exigent07, sans8475, luc_f3r, xbr01, rudraagh, __m1m1__, kr4z31n, alfin3313, 5h4rrk, hisoka.fr, l0x.me, ___apn___, gh0stkn1ght, lu513n, ma1f0y_, avntka, shravya1687, sp3p3x, mahesh1613, aprnbji, _sherl0ck",Nil
defconquals24-ligma,['misc'],"sherlockcheezu, jatin.exe, retr0ds",2024-05-04 08:18:29.780000
defconquals24-deenzone,['pwn'],"spektr.e, silence_, heartstoller, theb4tmite, z_pacifist, justk1r4, winters0x168, k1n0r4, hisoka.fr, sans8475, retr0ds, br34dcrumb, the.m3chanic, luc_f3r, l0x.me, tourpran, _r0r1_, rudraagh, kr4z31n, aerosol., sherlockcheezu, ___apn___, __m1m1__, gh0stkn1ght, hrippi.x_, aprnbji, shravya1687, sp3p3x, mahesh1613, _sherl0ck, arch_zero",Nil
defconquals24-hikarrro,['reverse'],"sherlockcheezu, the.m3chanic, br34dcrumb, heartstoller, __m1m1__, rudraagh, kr4z31n, aerosol., k1n0r4, aprnbji, silence_, hisoka.fr, _r0r1_, retr0ds, tourpran, justk1r4, theb4tmite, jatin.exe, jl_24, spektr.e, winters0x168, sans8475, xbr01, ls.exe, k0w4lzk1, 570rmbreaker, kndn, arch_zero",Nil
defconquals24-shiny_shells,['crypto'],"ls.exe, hisoka.fr, aerosol., arch_zero, sans8475",2024-05-04 21:55:46.527000
defconquals24-pass_it_on,['reverse'],"retr0ds, justk1r4, heartstoller, silence_, arch_zero",Nil
defconquals24-chatgpt-wasi,['pwn'],"justk1r4, spektr.e, heartstoller, z_pacifist, gh0stkn1ght, theb4tmite, silence_, ma1f0y_, lu513n, _r0r1_, _sherl0ck, arch_zero",Nil
defconquals24-process_vm,['pwn'],"justk1r4, spektr.e, _r0r1_, silence_, heartstoller",2024-05-05 01:19:26.918000
defconquals24-ndles,['pwn'],"justk1r4, spektr.e, _r0r1_",2024-05-05 05:08:06.476000
defconquals24-gilroy,['web'],"luc_f3r, k0w4lzk1, lu513n, ma1f0y_, l0x.me, winters0x168, z_pacifist, silence_, heartstoller, .d_pro, alfin3313, 570rmbreaker, ls.exe, justk1r4, hisoka.fr, exigent07, h3ri0s, theb4tmite, _r0r1_",Nil
defconquals24-suscall,['pwn'],"_r0r1_, justk1r4",2024-05-06 01:59:17.358000
