Challenge Name,Category,Solved/Attempted by,Solve time
lactf24-shattered-memories,['reverse'],the.m3chanic,2024-02-17 09:55:12.523000
lactf24-aplet123,['pwn'],silence_,2024-02-17 10:24:15.157000
lactf24-holyt,['crypto'],ls.exe,2024-02-17 16:34:13.906000
lactf24-aplet321,['reverse'],the.m3chanic,2024-02-17 10:06:30.566000
lactf24-infinite_loop,['misc'],silence_,2024-02-17 10:01:14.066000
lactf24-very-hot,['crypto'],___apn___,2024-02-17 10:01:42.580000
lactf24-terms-and-conditions,['web'],"k0w4lsk1_, k0w4lsk1_",2024-02-17 12:51:03.340000
lactf24-the-secret-of-java-island,['reverse'],"the.m3chanic, sherlockcheezu",2024-02-17 16:13:33.790000
lactf24-flaglang,['web'],k0w4lsk1_,2024-02-17 13:34:43.588000
lactf24-52cardmonty,['pwn'],silence_,2024-02-17 12:59:59.044000
lactf24-mixed_signals,['misc'],"j0dh7, its_me_ask",2024-02-17 13:06:01.430000
lactf24-onebyone,['misc'],"sherlockcheezu, winters0x168",2024-02-17 13:39:22.468000
lactf24-closed,['misc'],"its_me_ask, j0dh7, im._.a.p",2024-02-17 17:06:28.273000
lactf24-sus,['pwn'],"silence_, heartstoller",2024-02-17 14:56:05.746000
lactf24-la_housing_portal,['web'],exigent07,2024-02-17 16:08:59.957000
lactf24-53cardmonty,['pwn'],_r0r1_,2024-02-17 21:40:22.605000
lactf24-pogn,['web'],winters0x168,2024-02-17 14:50:04.606000
lactf24-flag_finder,['reverse'],"its_me_ask, the.m3chanic, sherlockcheezu, r3d_t3mp3st",2024-02-19 02:03:30.473000
lactf24-ctf-wiki,['web'],"winters0x168, z_pacifist, l0x.me, ma1f0y_, lu513n",Nil
lactf24-pizza,['pwn'],"silence_, b4tmite",2024-02-17 23:12:10.804000
lactf24-valentines_day,['crypto'],aerosol.,2024-02-17 17:07:54.733000
lactf24-selamat_pagi,['crypto'],"arch_zero, aerosol.",2024-02-17 19:41:33.103000
lactf24-gacha,['misc'],"silence_, its_me_ask, j0dh7, _mamatha_, aerosol.",2024-02-18 09:41:11.254000
lactf24-penguin-login,['web'],"r0h1t.pxh, exigent07, k0w4lsk1_",2024-02-17 18:35:10.903000
lactf24-prove_it,['crypto'],"Sans, im._.a.p, arch_zero, ___apn___, ls.exe",Nil
lactf24-budget_bag,['crypto'],"Sans, ls.exe, ___apn___, im._.a.p",Nil
lactf24-discordevents,['misc'],"silence_, its_me_ask, j0dh7, _mamatha_",2024-02-18 11:26:46.418000
lactf24-remisworld,['misc'],"j0dh7, im._.a.p, _mamatha_, silence_, heartstoller, its_me_ask",Nil
lactf24-mypoorgit,['misc'],"j0dh7, its_me_ask, z_pacifist, _mamatha_, sh.4rk, jl_24, gh0stkn1ght, silence_, heartstoller, r3d_t3mp3st",Nil
lactf24-glottem,['reverse'],"ls.exe, the.m3chanic, Sans, jatin.exe, r3d_t3mp3st, tricky_ninja",2024-02-17 22:39:02.210000
lactf24-new-housing-portal,['web'],"exigent07, k0w4lsk1_, r0h1t.pxh, winters0x168",2024-02-18 00:04:46.990000
lactf24-pprngc,['crypto'],"aerosol., arch_zero, Sans, ls.exe, ___apn___",Nil
lactf24-shuffle,['crypto'],"___apn___, ls.exe, Sans, aerosol., arch_zero, silence_, j0dh7, its_me_ask",Nil
lactf24-flipma,['pwn'],"tourpran, silence_, spektr.e, _r0r1_, heartstoller, b4tmite",Nil
lactf24-meow,['reverse'],"the.m3chanic, sherlockcheezu, ls.exe, jatin.exe",2024-02-18 17:08:43.709000
lactf24-any_ssg,['crypto'],"Sans, ___apn___, ls.exe",Nil
lactf24-jason-web-token,['web'],"r0h1t.pxh, k0w4lsk1_, exigent07, z_pacifist",Nil
lactf24-woogie-boogie,['pwn'],"_r0r1_, spektr.e, silence_, heartstoller, b4tmite, justk1r4",Nil
lactf24-jsfudge,['misc'],"r3d_t3mp3st, heartstoller, j0dh7, its_me_ask, _mamatha_, r0h1t.pxh, k0w4lsk1_, b4tmite, silence_",Nil
lactf24-rbp,['reverse'],"the.m3chanic, jatin.exe, sherlockcheezu, r3d_t3mp3st",Nil
