Challenge Name,Category,Solved/Attempted by,Solve time
hackluctf23-password_game,['reverse'],"the_mechanic__, retr0ds, k1n0r4, ad0lphus, sherlockcheezu",Nil
hackluctf23-based_encoding,['web'],"lu513n, ma1f0y_",2023-10-14 00:09:33.548000
hackluctf23-lucky_numbers,['crypto'],___apn___,2023-10-14 17:32:43.190000
hackluctf23-awesomenotes1,['web'],"lu513n, ma1f0y_",2023-10-14 00:46:19.167000
hackluctf23-totally-secure-shell,['crypto'],"Sans, ___apn___, ls.exe, hisoka.fr, victim1307, ph03n1x3701",Nil
hackluctf23-safebox,['crypto'],"Sans, ls.exe, hisoka.fr, victim1307, ___apn___, dhn5280, ph03n1x3701, abhishekbharadwaj",Nil
hackluctf23-doctored-dobbertin,['crypto'],"___apn___, ls.exe, hisoka.fr, victim1307",Nil
hackluctf23-cube_hash,['reverse'],"k1n0r4, retr0ds, the_mechanic__, ad0lphus, sherlockcheezu, amunrha",Nil
hackluctf23-soulsplitter,['misc'],"ls.exe, z_pacifist, hisoka.fr, spektr.e, jarvis",2023-10-14 21:04:46.556000
hackluctf23-destiny_digits,['pwn'],"tourpran, _r0r1_, spektr.e",2023-10-14 13:01:17.683000
hackluctf23-stylepen,['web'],"l0x.me, sk4d, avntka, ma1f0y_, z_pacifist, lu513n, luc_f3r, alfin",Nil
hackluctf23-pong,['pwn'],"justk1r4, spektr.e",2023-10-14 16:45:55.946000
hackluctf23-awesomenotes2,['web'],"z_pacifist, lu513n, alfin, l0x.me",2023-10-15 22:03:30.630000
hackluctf23-paaad,['web'],"ma1f0y_, lu513n, alfin",2023-10-15 14:47:18.373000
hackluctf23-doki-doki,['reverse'],"k1n0r4, retr0ds",2023-10-14 13:13:33.705000
hackluctf23-new_house,['pwn'],"tourpran, spektr.e, justk1r4",2023-10-14 15:14:06.768000
hackluctf23-bat_kube,['misc'],"z_pacifist, l0x.me, justk1r4",2023-10-14 18:14:02.464000
hackluctf23-rusty_mix,['pwn'],"_r0r1_, spektr.e, tourpran, justk1r4",Nil
hackluctf23-tinder4cats,['web'],"ma1f0y_, l0x.me, avntka, z_pacifist, alfin, az3z3l, lu513n, luc_f3r",Nil
hackluctf23-bat_as_kube,['misc'],"justk1r4, z_pacifist, l0x.me, _r0r1_, ma1f0y_, ph03n1x3701, luc_f3r, spektr.e, hisoka.fr",Nil
hackluctf23-ghost,['reverse'],"retr0ds, k1n0r4, sherlockcheezu, justk1r4",Nil
hackluctf23-mop,['web'],"lu513n, l0x.me, alfin, luc_f3r, z_pacifist, ma1f0y_, hisoka.fr, justk1r4",Nil
hackluctf23-celestial_db,['web'],"luc_f3r, ma1f0y_, z_pacifist, l0x.me, lu513n, az3z3l",Nil
