Challenge Name,Category,Solved/Attempted by,Solve time
zer0ptsctf23-warmuprofile,['web'],"lu513n, ma1f0y_, z_pacifist, l0x.me",2023-07-15 13:00:23.353000
zer0ptsctf23-decompile_me,['reverse'],"retr0ds, k1n0r4",2023-07-15 11:19:10.098000
zer0ptsctf23-easy_factoring,['crypto'],victim1307,2023-07-16 07:58:42.872000
zer0ptsctf23-mimikyu,['reverse'],"retr0ds, amunrha, k1n0r4, ls.exe",2023-07-15 14:04:05.904000
zer0ptsctf23-jqi,['web'],"z_pacifist, lu513n, l0x.me",2023-07-15 16:38:58.423000
zer0ptsctf23-aush,['pwn'],tourpran,2023-07-15 15:00:07.354000
zer0ptsctf23-netfs1,['misc'],"z_pacifist, l0x.me, lu513n",2023-07-15 14:36:46.276000
zer0ptsctf23-qjail,['pwn'],"tourpran, justk1r4, _r0r1_",2023-07-15 23:30:36.456000
zer0ptsctf23-flipper,['pwn'],"justk1r4, ath3n1x, fr1gh7",Nil
zer0ptsctf23-fvm,['reverse'],"the_mechanic__, sherlockcheezu, amunrha, k1n0r4",2023-07-16 06:45:15.273000
zer0ptsctf23-neko_notes,['web'],"ma1f0y_, Az3z3l, z_pacifist, l0x.me",2023-07-15 23:22:02.560000
zer0ptsctf23-brainjit,['pwn'],justk1r4,2023-07-16 01:51:28.585000
zer0ptsctf23-himitsu-note,['pwn'],"justk1r4, tourpran",Nil
zer0ptsctf23-topology,['reverse'],"retr0ds, shinobu5005",Nil
zer0ptsctf23-scoreshare,['web'],"z_pacifist, win.ters, ma1f0y_, l0x.me, lu513n, avntka, sk4d",Nil
zer0ptsctf23-plainblog,['web'],"ma1f0y_, sk4d, avntka, lu513n, l0x.me, win.ters, z_pacifist",Nil
zer0ptsctf23-netfs2,['misc'],"l0x.me, z_pacifist",Nil
zer0ptsctf23-ringtone,['web'],Az3z3l,2023-07-16 03:17:16.935000
