Challenge Name,Category,Solved/Attempted by,Solve time
crewctf24-4es,['crypto'],"aerosol., sans8475",2024-08-03 00:39:34.620000
crewctf24-format-muscle,['pwn'],"tourpran, silence_",2024-08-03 15:49:42.086000
crewctf24-nice-view-1,['web'],"exigent07, k0w4lzk1, winters0x168, h3ri0s, 570rmbreaker, ma1f0y_, z_pacifist, lu513n, alfin3313, silence_, r0h17h, .d_pro",Nil
crewctf24-waitforflag,['reverse'],"sherlockcheezu, jatin.exe, heartstoller, silence_, br34dcrumb",Nil
crewctf24-unfare,['forensics'],"rudraagh, __m1m1__, kr4z31n, sp3p3x, gh0stkn1ght, hrippi.x_, jl_24, 5h4rrk, azr43lkn1ght, br34dcrumb, silence_, jatin.exe",Nil
crewctf24-fiilllleeeeeeee,['forensics'],"azr43lkn1ght, sp3p3x, gh0stkn1ght, 5h4rrk, rudraagh, __m1m1__, kr4z31n, jl_24",2024-08-03 16:50:31.957000
crewctf24-crymem,['forensics'],"azr43lkn1ght, rudraagh, kr4z31n, 5h4rrk, jl_24, gh0stkn1ght, __m1m1__, sp3p3x, hrippi.x_",2024-08-03 03:59:53.953000
crewctf24-boring-lcg,['crypto'],"aerosol., silence_, sans8475",Nil
crewctf24-recursion,['forensics'],"__m1m1__, kr4z31n, rudraagh, 5h4rrk, azr43lkn1ght",2024-08-03 00:41:10.108000
crewctf24-html1,['reverse'],"retr0ds, the.m3chanic, k1n0r4",2024-08-04 01:26:46.601000
crewctf24-malkonkordo,['web'],"z_pacifist, winters0x168, alfin3313",2024-08-03 13:25:03.849000
crewctf24-flaggy,['hardware'],"jatin.exe, br34dcrumb, silence_",Nil
crewctf24-curelf,['web'],"alfin3313, h3ri0s, exigent07, z_pacifist, k0w4lzk1, winters0x168",2024-08-03 19:13:03.371000
crewctf24-read_between_lines,['crypto'],"sans8475, aerosol.",2024-08-03 18:31:10.976000
crewctf24-sniff-one,['hardware'],br34dcrumb,2024-08-03 01:04:19.910000
crewctf24-sniff-two,['hardware'],br34dcrumb,2024-08-03 17:30:01.150000
crewctf24-shellcode_game-x64,['misc'],"theb4tmite, heartstoller, silence_, the.m3chanic, justk1r4, tourpran, _r0r1_, sherlockcheezu, br34dcrumb",Nil
crewctf24-ulele,['pwn'],"_r0r1_, tourpran",2024-08-04 07:29:22.783000
crewctf24-tree,['blockchain'],komalrao,2024-08-03 17:07:18.827000
crewctf24-hacktheplanet,['reverse'],"sherlockcheezu, heartstoller, silence_",Nil
crewctf24-pacipac,['pwn'],"silence_, heartstoller",2024-08-04 02:05:38.016000
crewctf24-html2,['reverse'],"the.m3chanic, k1n0r4, aerosol.",2024-08-04 21:52:50.599000
crewctf24-php-notes,['pwn'],"tourpran, heartstoller, spektr.e, theb4tmite, justk1r4, z_pacifist, silence_",Nil
crewctf24-admin,['crypto'],"aerosol., arch_zero, silence_",Nil
crewctf24-kulele,['pwn'],silence_,Nil
crewctf24-pincode,['misc'],"sans8475, sp3p3x, silence_, __m1m1__, .d_pro, kr4z31n, heartstoller, rudraagh, aerosol., ___apn___",Nil
