Challenge Name,Category,Solved/Attempted by,Solve time
corctf23-force,['web'],"win.ters, lu513n, ma1f0y_, luc_f3r",2023-07-30 16:34:41.859000
corctf23-msfrognymize,['web'],"lu513n, ma1f0y_",2023-07-30 16:17:47.789000
corctf23-baby-rev,['reverse'],"the_mechanic__, sherlockcheezu, amunrha",2023-07-30 22:09:33.788000
corctf23-impossible-maze,['reverse'],"r3xnation, sherlockcheezu, the_mechanic__",2023-07-29 23:46:01.798000
corctf23-fizzbuzz100,['crypto'],Sans,2023-07-29 22:19:05.833000
corctf23-frogshare,['web'],ma1f0y_,2023-07-30 11:46:43.672000
corctf23-eyes,['crypto'],"___apn___, 0xd15c0, Sans",Nil
corctf23-harem-scarem,['pwn'],"_r0r1_, tourpran",2023-07-30 22:22:56.657000
corctf23-zeroday,['pwn'],"tourpran, justk1r4, ath3n1x",Nil
corctf23-youdirect,['web'],"lu513n, ma1f0y_",Nil
corctf23-leakynote,['web'],ma1f0y_,Nil
corctf23-cbc,['crypto'],"0xd15c0, ___apn___, Sans",Nil
corctf23-fizzbuzz101,['crypto'],"0xd15c0, ___apn___, Sans",Nil
corctf23-touch_grass,['misc'],"luc_f3r, win.ters, ma1f0y_, lu513n",2023-07-30 17:44:18.335000
corctf23-utterly-deranged,['reverse'],the_mechanic__,2023-07-30 18:16:32.585000
corctf23-crabheartpenguin,['reverse'],"sherlockcheezu, r3xnation",Nil
