Challenge Name,Category,Solved/Attempted by,Solve time
linectf24-jailboy_baby,['web'],exigent07,2024-03-23 07:00:57.103000
linectf24-hacklolo,['pwn'],"b4tmite, heartstoller, tourpran, silence_, _r0r1_, spektr.e, justk1r4",Nil
linectf24-iine_voip_mailbox,['pwn'],"b4tmite, silence_, _r0r1_, spektr.e, justk1r4, heartstoller",Nil
linectf24-brownflagchecker,['reverse'],"b4tmite, tricky_ninja, retr0ds, spektr.e, silence_, k1n0r4, the.m3chanic, heartstoller",Nil
linectf24-haki_tako_game,['crypto'],"hisoka.fr, ls.exe",2024-03-24 03:18:26.140000
linectf24-jalyboy_jalygirl,['web'],"k0w4lsk1_, z_pacifist, r0h1t.pxh, exigent07",2024-03-23 12:30:19.667000
linectf24-rum-runners-ruse,['misc'],"b4tmite, __m1m1__, silence_, gh0stkn1ght, hrippi.x_, tricky_ninja, 5h4rrk, its_me_ask, jl_24, j0dh7, aerosol., heartstoller",Nil
linectf24-zipviewer-citizen,['web'],"z_pacifist, avntka, l0x.me",2024-03-23 14:59:51.428000
linectf24-iine_voip_mistake,['misc'],"its_me_ask, j0dh7, __m1m1__, 5h4rrk, gh0stkn1ght, jl_24, silence_, justk1r4",Nil
linectf24-zipviewer-version-clown,['web'],"z_pacifist, l0x.me, avntka, ma1f0y_, exigent07, k0w4lsk1_, lu513n, its_me_ask, 5h4rrk, jl_24, winters0x168, luc_f3r",Nil
linectf24-graphql101,['web'],"z_pacifist, lu513n, ma1f0y_, exigent07, r0h1t.pxh, k0w4lsk1_, avntka",2024-03-23 19:44:53.568000
linectf24-haki-tako-game,['crypto'],"sans8475, ls.exe, hisoka.fr",Nil
linectf24-g0tcha-g0tcha-doggy,['web'],"k0w4lsk1_, exigent07, r0h1t.pxh",2024-03-23 21:20:41.784000
linectf24-this_message_will_self_destruct_in,['web'],lu513n,2024-03-24 01:20:07.287000
linectf24-boom_boom_hell,['web'],"z_pacifist, r0h1t.pxh, exigent07, luc_f3r, winters0x168, lu513n, ma1f0y_, avntka, k0w4lsk1_",Nil
linectf24-heritage,['web'],"lu513n, z_pacifist, ma1f0y_",2024-03-24 01:20:38.551000
linectf24-one-time-read,['web'],"z_pacifist, r0h1t.pxh, lu513n, ma1f0y_, avntka, k0w4lsk1_",Nil
