Challenge Name,Category,Solved/Attempted by,Solve time
byuctf24-all,['pwn'],silence_,2024-05-17 13:21:53.225000
byuctf24-static,['pwn'],"silence_, heartstoller",2024-05-17 13:22:15.766000
byuctf24-typosquatting,['misc'],"silence_, heartstoller",2024-05-17 13:23:02.747000
byuctf24-mail-time,['osint'],"silence_, heartstoller",2024-05-17 13:23:35.277000
byuctf24-gitting-started,['misc'],silence_,2024-05-17 13:24:15.608000
byuctf24-gargantuan,['pwn'],"silence_, tourpran",2024-05-17 19:51:41.031000
byuctf24-numbersss,['pwn'],"silence_, heartstoller",2024-05-17 17:11:18.440000
byuctf24-petrol-head,['osint'],"h3ri0s, kr4z31n",2024-05-17 13:57:52.860000
byuctf24-step-eclipse,['osint'],"z_pacifist, silence_",2024-05-17 17:04:51.712000
byuctf24-greg,['misc'],kr4z31n,2024-05-17 13:29:08.153000
byuctf24-whoami,['forensics'],__m1m1__,2024-05-17 14:27:59.185000
byuctf24-did_nobody_see,['forensics'],azr43lkn1ght,2024-05-17 13:43:02.474000
byuctf24-mipscode,['pwn'],"theb4tmite, _r0r1_, heartstoller, silence_, justk1r4",2024-05-18 17:54:08.420000
byuctf24-are_s_a,['crypto'],aerosol.,2024-05-17 15:07:19.988000
byuctf24-times,['crypto'],aerosol.,2024-05-17 15:08:46.594000
byuctf24-random,['web'],"k0w4lzk1, k0w4lzk1, exigent07, h3ri0s, z_pacifist",2024-05-17 16:04:37.669000
byuctf24-bitlockered,['forensics'],"azr43lkn1ght, sp3p3x, hrippi.x_, jl_24, 5h4rrk, gh0stkn1ght",2024-05-17 19:03:58.685000
byuctf24-argument,['web'],"k0w4lzk1, exigent07, h3ri0s, 570rmbreaker, alfin3313",2024-05-17 19:43:09.436000
byuctf24-reboot,['hardware'],"br34dcrumb, jatin.exe",2024-05-17 18:21:05.263000
byuctf24-stardust,['forensics'],"rudraagh, silence_, gh0stkn1ght, kr4z31n, __m1m1__",2024-05-17 21:22:37.793000
byuctf24-not_a_problem,['web'],"alfin3313, lu513n, luc_f3r, winters0x168",2024-05-17 18:57:59.199000
byuctf24-the-worst-challenge-ever,['forensics'],sp3p3x,2024-05-17 17:02:28.450000
byuctf24-advanced_steak,['forensics'],"hrippi.x_, azr43lkn1ght, jl_24, 5h4rrk, gh0stkn1ght",2024-05-17 17:06:16.364000
byuctf24-sal,['hardware'],"br34dcrumb, silence_, jatin.exe",Nil
byuctf24-porg_city,['misc'],"ma1f0y_, silence_, k0w4lzk1, winters0x168, alfin3313, luc_f3r, exigent07, h3ri0s, justk1r4",2024-05-18 11:31:33.581000
byuctf24-musles,['reverse'],"tricky_ninja, kndn",2024-05-17 19:22:56.396000
byuctf24-austen_supremacy,['crypto'],"hisoka.fr, ls.exe, ___apn___, aerosol.",2024-05-17 18:55:54.062000
byuctf24-give_up,['crypto'],"hisoka.fr, sans8475, the.m3chanic",2024-05-17 18:16:41.370000
byuctf24-enr,['forensics'],"jatin.exe, br34dcrumb, silence_, drunknb0tch, xbr01, gh0stkn1ght",Nil
byuctf24-verse,['reverse'],"the.m3chanic, retr0ds",2024-05-18 00:40:36.878000
byuctf24-time,['reverse'],"the.m3chanic, retr0ds",2024-05-17 22:15:22.274000
byuctf24-cosmere,['reverse'],"the.m3chanic, retr0ds, sans8475, gh0stkn1ght, tricky_ninja, azr43lkn1ght, jl_24, sp3p3x",2024-05-17 23:15:26.538000
byuctf24-netstat,['misc'],"570rmbreaker, hisoka.fr, justk1r4, ls.exe, silence_, exigent07",2024-05-17 21:32:53.756000
byuctf24-records,['osint'],"sans8475, aerosol., silence_, kr4z31n, rudraagh, heartstoller, __m1m1__, 570rmbreaker, exigent07, gh0stkn1ght, alfin3313, azr43lkn1ght, z_pacifist, ma1f0y_, k0w4lzk1, winters0x168, arch_zero",Nil
byuctf24-token,['pwn'],"jatin.exe, heartstoller, silence_, theb4tmite, _r0r1_, aerosol., kr4z31n",Nil
byuctf24-vacation_boats,['osint'],__m1m1__,2024-05-18 07:15:15.523000
byuctf24-directory,['pwn'],silence_,2024-05-18 08:55:00.208000
byuctf24-recover,['forensics'],"hrippi.x_, __m1m1__",2024-05-18 10:04:26.167000
byuctf24-cookie-cutter,['crypto'],"sans8475, ___apn___",2024-05-18 17:57:49.888000
byuctf24-triple_whammy,['web'],"alfin3313, ma1f0y_, h3ri0s, k0w4lzk1",2024-05-18 18:54:59.857000
