Challenge Name,Category,Solved/Attempted by,Solve time
tpctf23-blurred_memory,['crypto'],"spektr.e, ls.exe, ___apn___, im._.a.p, Sans, hisoka.fr, abhishekbharadwaj",Nil
tpctf23-xssbot,['web'],"winters0x168, luc_f3r, z_pacifist, l0x.me, ma1f0y_",2023-11-25 17:41:56.881000
tpctf23-matrix,['crypto'],"ls.exe, ___apn___, im._.a.p, Sans, hisoka.fr, abhishekbharadwaj",Nil
tpctf23-maze,['reverse'],"ls.exe, retr0ds, k1n0r4, the.m3chanic, xbr01, sherlockcheezu, ad0lphus, 4rbit3r, Sans, amunrha",Nil
tpctf23-apple,['reverse'],"ls.exe, retr0ds, the.m3chanic, xbr01, ad0lphus, amunrha",Nil
tpctf23-walk_off_the_earth,['web'],"lu513n, ma1f0y_",2023-11-27 02:42:36.848000
tpctf23-safehttpd,['pwn'],"spektr.e, justk1r4, _r0r1_, tourpran, ath3n1x, 4rbit3r",Nil
tpctf23-signin_ingress,['misc'],ls.exe,2023-11-25 08:44:29.545000
tpctf23-tpgc,['pwn'],"spektr.e, justk1r4, _r0r1_, tourpran, ath3n1x",Nil
tpctf23-nanouniverse,['misc'],"sh.4rk, azr43lkn1ght, gh0stkn1ght, sp3p3x, hrippi.x_, justk1r4, spektr.e, z_pacifist, ls.exe, _r0r1_, Sans, hisoka.fr",2023-11-25 17:29:01.901000
tpctf23-tonyscontract,['misc'],"hrippi.x_, gh0stkn1ght, sh.4rk, sp3p3x, Sans, azr43lkn1ght, justk1r4, im._.a.p, ath3n1x, ls.exe, spektr.e, jl_24",Nil
tpctf23-wait_for_first_blood,['misc'],"hrippi.x_, gh0stkn1ght, sh.4rk, sp3p3x, Sans, azr43lkn1ght, justk1r4, im._.a.p, ath3n1x, jl_24, z_pacifist, spektr.e",Nil
tpctf23-mte_notebook,['pwn'],"spektr.e, justk1r4, tourpran, _r0r1_",Nil
tpctf23-nanootp,['crypto'],"im._.a.p, Sans, ___apn___, hisoka.fr, ls.exe",Nil
tpctf23-funky_puzzle,['reverse'],"retr0ds, the.m3chanic, sherlockcheezu, k1n0r4, amunrha, ad0lphus",Nil
tpctf23-xssbot_but_no_internet,['web'],"z_pacifist, l0x.me, avntka, luc_f3r, alfin, ma1f0y_, winters0x168, lu513n, sk4d",Nil
tpctf23-safebox,['misc'],ls.exe,2023-11-26 22:29:20.962000
tpctf23-sort_teaser,['crypto'],"ls.exe, hisoka.fr, ___apn___",Nil
tpctf23-core,['pwn'],"spektr.e, justk1r4, _r0r1_, tourpran",Nil
tpctf23-ezsqli,['web'],"luc_f3r, l0x.me, ma1f0y_, z_pacifist, winters0x168, lu513n, avntka",Nil
tpctf23-little_ts_daily_life,['misc'],"hrippi.x_, gh0stkn1ght, sh.4rk, sp3p3x, spektr.e, azr43lkn1ght, im._.a.p, z_pacifist, l0x.me, Sans, ___apn___, retr0ds",Nil
