Challenge Name,Category,Solved/Attempted by,Solve time
blockctf24-2048ai,['misc'],spektr.e,2024-11-14 05:02:50.842000
blockctf24-red_flags,['reverse'],"spektr.e, theb4tmite, silence_, k1n0r4, the.m3chanic, retr0ds, justk1r4, ___apn___, hisoka.fr, ls.exe, arch_zero, kr4z31n, k0w4lzk1, exigent07, kndn, drunknb0tch",Nil
blockctf24-juggler,['web'],"k0w4lzk1, exigent07, h3ri0s",2024-11-14 14:58:56.721000
blockctf24-go-moth,['web'],"z_pacifist, hisoka.fr, winters0x168, exigent07, h3ri0s, k0w4lzk1, luc_f3r, ___apn___",2024-11-14 14:53:55.394000
blockctf24-echo,['pwn'],silence_,2024-11-14 13:34:12.738000
blockctf24-onlyws,['pwn'],silence_,2024-11-14 13:34:16.035000
blockctf24-echo2,['pwn'],silence_,2024-11-14 13:34:20.538000
blockctf24-ihnsaims,['pwn'],silence_,2024-11-14 13:34:25.620000
blockctf24-2048hacker1,['pwn'],"silence_, heartstoller",2024-11-14 13:34:35.170000
blockctf24-2048hacker2,['pwn'],"silence_, theb4tmite, heartstoller",2024-11-14 13:34:44.282000
blockctf24-sizer_cipher,['crypto'],"silence_, hisoka.fr, aerosol., arch_zero, ___apn___",2024-11-14 13:29:19.468000
blockctf24-wannalaugh,['reverse'],"k1n0r4, retr0ds",2024-11-14 11:38:57.090000
blockctf24-flowerapp,['reverse'],drunknb0tch,2024-11-14 11:39:36.806000
blockctf24-wheres_my_key,['crypto'],spektr.e,2024-11-14 13:29:55.078000
blockctf24-glitch_in_the_crypt,['crypto'],spektr.e,2024-11-14 13:30:00.201000
blockctf24-protect_your_api_key,['android'],drunknb0tch,2024-11-14 15:19:26.791000
blockctf24-custom_keyboard,['reverse'],"retr0ds, ls.exe, hisoka.fr, k0w4lzk1, ___apn___, jatin.exe, arch_zero, 5h4rrk, k1n0r4, spektr.e, justk1r4, tourpran, silence_",Nil
blockctf24-elf_on_a_shelf,['reverse'],"ls.exe, retr0ds, 5h4rrk, aerosol., sherlockcheezu",2024-11-14 22:07:35.230000
