Challenge Name,Category,Solved/Attempted by,Solve time
tuctf23-hacker-typer,['misc'],"ls.exe, justk1r4",2023-12-03 21:33:12.900000
tuctf23-try-debug-me,['reverse'],"the.m3chanic, justk1r4, retr0ds, k1n0r4",Nil
tuctf23-plenty-o-fish-in-the-sea,['misc'],"im._.a.p, ath3n1x, ls.exe, justk1r4, jl_24, gh0stkn1ght, Sans, ___apn___",Nil
tuctf23-carlslabrinth,['misc'],"ls.exe, jarvis",2023-12-03 10:44:24.441000
tuctf23-java-juggling,['reverse'],drunknb0tch,Nil
tuctf23-secret-agent,['misc'],"justk1r4, ls.exe, ___apn___",2023-12-02 16:04:06.978000
tuctf23-simple_ecb,['crypto'],"Sans, justk1r4, ls.exe",2023-12-03 19:30:38.929000
tuctf23-cube,['misc'],"tourpran, gh0stkn1ght",2023-12-02 23:21:55.864000
tuctf23-simple_cipher,['crypto'],"Sans, ___apn___, ls.exe, tourpran",2023-12-03 21:32:30.857000
tuctf23-toes-out,['misc'],"justk1r4, hisoka.fr",2023-12-02 19:51:28.835000
tuctf23-jumpfuscator,['reverse'],"k1n0r4, tourpran, the.m3chanic",Nil
tuctf23-silly-registry,['misc'],ma1f0y_,2023-12-02 20:36:06.363000
tuctf23-png_jelly,['web'],"l0x.me, winters0x168, luc_f3r, ma1f0y_",2023-12-03 12:14:00.068000
