Challenge Name,Category,Solved/Attempted by,Solve time
iitbctf23-phenominalrsa,['web'],"lu513n, ls.exe, z_pacifist, hisoka.fr",2023-10-21 19:01:09.092000
iitbctf23-zkgame,['crypto'],"ls.exe, lu513n, Sans, ___apn___",2023-10-22 02:27:08.876000
iitbctf23-risky_bytepatch,['pwn'],"_r0r1_, justk1r4",2023-10-21 20:03:35.999000
iitbctf23-world_peace,['pwn'],"spektr.e, justk1r4",2023-10-21 19:04:08.586000
iitbctf23-ota,['crypto'],"___apn___, Sans, ls.exe",2023-10-22 01:29:54.586000
iitbctf23-sounds_risky,['misc'],"jatin.exe, sh.4rk, retr0ds",2023-10-21 22:44:02.192000
iitbctf23-kattappa_on_tour,['misc'],"lu513n, sh.4rk, ls.exe, ___apn___, gh0stkn1ght, aparna_11, Sans, jl911, spektr.e, justk1r4, avntka, ma1f0y_, _r0r1_, dhn5280, jatin.exe, z_pacifist, .tr4c3, winters.ggs, sp3p3x",Nil
iitbctf23-tunnel_vision_network,['web'],"z_pacifist, winters.ggs",2023-10-21 19:01:44.188000
iitbctf23-tunnel_vision,"['web', 'misc']",lu513n,Nil
iitbctf23-try_harder_system_security,['web'],"ma1f0y_, z_pacifist, lu513n, luc_f3r, winters.ggs",2023-10-21 22:04:47.385000
iitbctf23-fradulent_graphs_log_analysis,['misc'],"ls.exe, lu513n",2023-10-22 05:17:49.383000
iitbctf23-if_true,['reverse'],"justk1r4, r3xnation, amunrha, sherlockcheezu, the_mechanic__",2023-10-22 04:09:39.101000
iitbctf23-spy_on_chain_blockchain,['misc'],"ls.exe, amunrha, lu513n",2023-10-22 00:26:23.593000
