Challenge Name,Category,Solved/Attempted by,Solve time
blackhatmea24-watermelon,['web'],"z_pacifist, k0w4lzk1, h3ri0s, exigent07, luc_f3r, alfin3313",2024-09-01 16:02:43.834000
blackhatmea24-trypanophobia,['crypto'],"hisoka.fr, ls.exe, sans8475, ___apn___",2024-09-01 19:12:48.907000
blackhatmea24-artifacts,['forensics'],"azr43lkn1ght, jl_24, gh0stkn1ght, 5h4rrk, kr4z31n, __m1m1__",2024-09-01 16:13:45.598000
blackhatmea24-stealer,['reverse'],"the.m3chanic, k1n0r4, retr0ds",2024-09-01 19:00:44.238000
blackhatmea24-cheeky,['crypto'],"hisoka.fr, ls.exe, sans8475, retr0ds, jl_24, z_pacifist, arch_zero, silence_, k0w4lzk1, luc_f3r, h3ri0s",Nil
blackhatmea24-notey,['web'],"luc_f3r, z_pacifist, luc_f3r, ma1f0y_, alfin3313",2024-09-01 20:55:24.422000
blackhatmea24-cpl0,['pwn'],"justk1r4, heartstoller, spektr.e, _r0r1_, silence_, theb4tmite, retr0ds, tourpran, z_pacifist, hisoka.fr, k0w4lzk1, luc_f3r, arch_zero, h3ri0s",Nil
blackhatmea24-rd-what-now,['reverse'],"sherlockcheezu, k1n0r4, jatin.exe, the.m3chanic, gh0stkn1ght",2024-09-02 15:31:11.343000
blackhatmea24-fastest-delivery-service,['web'],"z_pacifist, ma1f0y_, alfin3313, luc_f3r",2024-09-01 20:55:34.878000
blackhatmea24-notfs,['forensics'],azr43lkn1ght,2024-09-01 16:36:26.795000
blackhatmea24-saqrsign,['crypto'],"hisoka.fr, ___apn___, ls.exe, aerosol., sans8475, tourpran, silence_, theb4tmite, heartstoller, retr0ds, z_pacifist, k0w4lzk1, luc_f3r, arch_zero, h3ri0s",Nil
blackhatmea24-cockatoo,['pwn'],"silence_, tourpran, heartstoller",2024-09-01 16:44:01.395000
blackhatmea24-the-ring,['pwn'],"justk1r4, silence_, spektr.e, theb4tmite, tourpran, heartstoller, _r0r1_, retr0ds, z_pacifist, hisoka.fr, k0w4lzk1, luc_f3r, arch_zero, h3ri0s",Nil
blackhatmea24-broken-authenticator,['reverse'],"tourpran, sherlockcheezu, the.m3chanic, jatin.exe, spektr.e, silence_, theb4tmite, retr0ds, kndn, k1n0r4, heartstoller, gh0stkn1ght, z_pacifist, hisoka.fr, ___apn___, k0w4lzk1, ls.exe, luc_f3r, arch_zero, h3ri0s",Nil
blackhatmea24-freeflag,['web'],alfin3313,2024-09-01 18:31:54.044000
