Challenge Name,Category,Solved/Attempted by,Solve time
insomnihack24-inso_bank,['web'],"alfin, winters0x168",2024-01-21 05:47:14.661000
insomnihack24-crypto_notes,['android'],"drunknb0tch, azr43lkn1ght, gh0stkn1ght, jl_24, jatin.exe, xbr01, retr0ds, spektr.e",Nil
insomnihack24-vaulty,['pwn'],_r0r1_,2024-01-20 15:45:02.042000
insomnihack24-unstringify,['reverse'],"the.m3chanic, retr0ds, ls.exe, k1n0r4",2024-01-20 21:44:28.128000
insomnihack24-to_the_moon_maths,['crypto'],"___apn___, hisoka.fr, ls.exe, im._.a.p, Sans, arch_zero, gh0stkn1ght, sh.4rk, retr0ds, spektr.e",Nil
insomnihack24-terminal_pursuit,['misc'],"sp3p3x, jl_24, sh.4rk, hrippi.x_, gh0stkn1ght, azr43lkn1ght, im._.a.p, Sans, jodeeel, a.s.k3052, justk1r4, retr0ds, spektr.e, z_pacifist",Nil
insomnihack24-tinderbox,['pwn'],"tourpran, justk1r4, silence_, spektr.e, _r0r1_, dark.kn1ght, Sans, retr0ds",Nil
insomnihack24-ppp,['misc'],"gh0stkn1ght, .d_pro, Sans, jl_24, azr43lkn1ght, hisoka.fr, justk1r4, sh.4rk, tourpran, retr0ds, spektr.e, z_pacifist",Nil
insomnihack24-frown,['reverse'],"retr0ds, k1n0r4, the.m3chanic",2024-01-20 22:06:02.012000
insomnihack24-cache_cache,['misc'],"jl_24, sh.4rk, gh0stkn1ght, justk1r4, retr0ds, spektr.e",Nil
insomnihack24-trompeloeil,['reverse'],"k1n0r4, the.m3chanic, retr0ds, sherlockcheezu, spektr.e",Nil
insomnihack24-frowns-revenge,['reverse'],"the.m3chanic, retr0ds, k1n0r4, sherlockcheezu, spektr.e",Nil
