Challenge Name,Category,Solved/Attempted by,Solve time
domctf23-seculogin,['web'],"retr0ds, z_pacifist, luc_f3r, l0x.me, avntka, winters.ggs, alfin, shinobu5005, lu513n, sp3p3x, Sans, hisoka.fr, tourpran, _b1u33, _r0r1_, gh0stkn1ght, justk1r4, ls.exe, dhn5280, k1n0r4, fr1gh7, amunrha, jl911, ad0lphus, sk4d, azr43lkn1ght, the_mechanic__, .d_pro, sh.4rk, spektr.e, ma1f0y_, 0xd15c0, jatin.exe, ___apn___, victim1307, sherlockcheezu",Nil
domctf23-troops_ops,['web'],"dhn5280, z_pacifist, avntka, winters.ggs, l0x.me, luc_f3r, lu513n, sp3p3x, Sans, hisoka.fr, tourpran, _b1u33, _r0r1_, gh0stkn1ght, shinobu5005, 0xd15c0, justk1r4, ls.exe, retr0ds, alfin, k1n0r4, fr1gh7, amunrha, jl911, ad0lphus, sk4d, azr43lkn1ght, the_mechanic__, .d_pro, sh.4rk, spektr.e, ma1f0y_, jatin.exe, ___apn___, victim1307, sherlockcheezu",Nil
domctf23-spc,['web'],"retr0ds, lu513n, l0x.me, avntka, sp3p3x, Sans, hisoka.fr, tourpran, _b1u33, _r0r1_, winters.ggs, gh0stkn1ght, shinobu5005, justk1r4, ls.exe, dhn5280, alfin, k1n0r4, fr1gh7, amunrha, jl911, ad0lphus, sk4d, azr43lkn1ght, the_mechanic__, .d_pro, sh.4rk, luc_f3r, spektr.e, ma1f0y_, 0xd15c0, jatin.exe, ___apn___, victim1307, sherlockcheezu, z_pacifist",Nil
domctf23-chat,['web'],"sp3p3x, the_mechanic__, tourpran, retr0ds, sk4d, lu513n, alfin",2023-10-06 21:35:55.153000
domctf23-armory,['web'],"lu513n, sp3p3x, z_pacifist, alfin, l0x.me, k1n0r4, avntka, gh0stkn1ght, Sans, winters.ggs, ma1f0y_, retr0ds, 0xd15c0, _r0r1_, justk1r4, shinobu5005, luc_f3r, dhn5280, ls.exe, fr1gh7, tourpran, amunrha, jl911, ad0lphus, sk4d, azr43lkn1ght, the_mechanic__, .d_pro, sh.4rk, spektr.e, jatin.exe, hisoka.fr, _b1u33, ___apn___, victim1307, sherlockcheezu",Nil
domctf23-jcoin,['web'],"ls.exe, amunrha",2023-10-06 17:59:44.174000
domctf23-nuclear,['web'],"tourpran, sp3p3x, _r0r1_, Sans, justk1r4, gh0stkn1ght, shinobu5005, ma1f0y_, lu513n, z_pacifist, l0x.me, luc_f3r, hisoka.fr, dhn5280, alfin, k1n0r4, ls.exe, retr0ds, fr1gh7, amunrha, jl911, ad0lphus, sk4d, azr43lkn1ght, the_mechanic__, .d_pro, sh.4rk, spektr.e, avntka, 0xd15c0, jatin.exe, _b1u33, ___apn___, victim1307, sherlockcheezu, winters.ggs",Nil
domctf23-covert,['misc'],"retr0ds, hisoka.fr, ___apn___, justk1r4, sp3p3x, avntka, gh0stkn1ght, shinobu5005, 0xd15c0, lu513n, z_pacifist, l0x.me, _r0r1_, _b1u33, dhn5280, alfin, k1n0r4, ls.exe, fr1gh7, amunrha, tourpran, Sans, jl911, ad0lphus, sk4d, azr43lkn1ght, the_mechanic__, .d_pro, sh.4rk, luc_f3r, spektr.e, ma1f0y_, jatin.exe, sherlockcheezu, victim1307, winters.ggs",Nil
domctf23-codebreak,['misc'],"sp3p3x, gh0stkn1ght, _b1u33, z_pacifist, retr0ds",2023-10-06 12:10:30.957000
domctf23-chewie,['forensics'],"gh0stkn1ght, k1n0r4, sp3p3x, jl911, _b1u33, z_pacifist, ls.exe, retr0ds, fr1gh7, justk1r4, dhn5280, tourpran, amunrha, Sans, _r0r1_, ad0lphus, hisoka.fr, 0xd15c0, sk4d, azr43lkn1ght, the_mechanic__, .d_pro, sh.4rk, lu513n, l0x.me, luc_f3r, spektr.e, ma1f0y_, avntka, jatin.exe, ___apn___, victim1307, sherlockcheezu, alfin, winters.ggs",Nil
domctf23-lightsaber,['misc'],"gh0stkn1ght, retr0ds, sp3p3x",2023-10-06 12:27:44.520000
domctf23-hyper,['misc'],"retr0ds, dhn5280, hisoka.fr, ls.exe, ___apn___, k1n0r4, fr1gh7, justk1r4, l0x.me, z_pacifist, sp3p3x, azr43lkn1ght, gh0stkn1ght, the_mechanic__, .d_pro, sh.4rk, lu513n, _b1u33, _r0r1_, tourpran, luc_f3r, spektr.e, shinobu5005, ma1f0y_, amunrha, avntka, Sans, 0xd15c0, jatin.exe, ad0lphus, victim1307, sherlockcheezu, alfin, sk4d, winters.ggs",Nil
domctf23-candcc,['web'],winters.ggs,2023-10-06 22:38:33.935000
domctf23-arvhive2,['web'],"ma1f0y_, z_pacifist, avntka, k1n0r4, spektr.e, l0x.me, luc_f3r, lu513n, gh0stkn1ght, sp3p3x, justk1r4, winters.ggs, _r0r1_, Sans, 0xd15c0, jatin.exe, hisoka.fr, ad0lphus, the_mechanic__, _b1u33, ___apn___, victim1307, fr1gh7, tourpran, sherlockcheezu, alfin, sk4d, dhn5280, sh.4rk, azr43lkn1ght, ls.exe, retr0ds, .d_pro",Nil
domctf23-strategi,['web'],"dhn5280, winters.ggs, z_pacifist, luc_f3r, the_mechanic__, avntka, sp3p3x, Sans, _b1u33, justk1r4, hisoka.fr, spektr.e, _r0r1_, shinobu5005, ___apn___, victim1307, fr1gh7, gh0stkn1ght, k1n0r4, tourpran, sherlockcheezu, 0xd15c0, l0x.me, alfin, sk4d, sh.4rk, azr43lkn1ght, ls.exe, retr0ds, .d_pro, lu513n",Nil
