Challenge Name,Category,Solved/Attempted by,Solve time
sekaictf23-scanner-service,['web'],"lu513n, z_pacifist, ma1f0y_",2023-08-26 11:30:39.271000
sekaictf23-camelot,['reverse'],"the_mechanic__, sherlockcheezu",Nil
sekaictf23-eval_me,['forensics'],"sh.4rk, azr43lkn1ght, _b1u33",2023-08-25 23:36:21.675000
sekaictf23-noisy_crc,['crypto'],"Sans, ls.exe, ___apn___, 0xd15c0",Nil
sekaictf23-gacha,['reverse'],"the_mechanic__, retr0ds, k1n0r4, sherlockcheezu",2023-08-26 18:37:44.971000
sekaictf23-infected,['forensics'],"azr43lkn1ght, sh.4rk, gh0stkn1ght, _b1u33, jl911, sp3p3x",Nil
sekaictf23-network_tools,['pwn'],"_r0r1_, spektr.e",2023-08-26 09:43:02.950000
sekaictf23-golfjail,['web'],"avntka, l0x.me, lu513n, ma1f0y_, z_pacifist, alfin, az3z3l",Nil
sekaictf23-algorithm_multitool,['pwn'],"spektr.e, fr1gh7, _r0r1_, justk1r4",Nil
sekaictf23-defcon_invitation,['forensics'],"sh.4rk, azr43lkn1ght",2023-08-26 10:24:59.869000
sekaictf23-wiki_game,['misc'],ls.exe,2023-08-25 23:47:26.062000
sekaictf23-frogwaf,['web'],"l0x.me, z_pacifist, alfin, ma1f0y_, lu513n, avntka",Nil
sekaictf23-text_sender,['pwn'],"tourpran, _r0r1_, fr1gh7, justk1r4, spektr.e",Nil
sekaictf23-leaklessnote,['web'],"lu513n, ma1f0y_, z_pacifist, l0x.me, avntka, alfin, az3z3l",Nil
sekaictf23-guardians,['reverse'],"the_mechanic__, k1n0r4, retr0ds, sherlockcheezu",Nil
sekaictf23-notification,['pwn'],"justk1r4, tourpran, spektr.e, _r0r1_",Nil
sekaictf23-cosmic_ray,['pwn'],_r0r1_,2023-08-26 21:30:28.781000
sekaictf23-cryptography1,['crypto'],"Sans, 0xd15c0, ___apn___, ls.exe",Nil
sekaictf23-purple_sheep,['programming'],Sans,Nil
sekaictf23-chunky,['web'],ma1f0y_,2023-08-27 17:36:52.956000
sekaictf23-ilovethisworld,['misc'],_r0r1_,2023-08-27 18:18:08.292000
