Challenge Name,Category,Solved/Attempted by,Solve time
bauhiniactf23-carpe_diem,['web'],"z_pacifist, ma1f0y_, alfin",2023-08-19 10:42:44.156000
bauhiniactf23-vs_code,['misc'],"_b1u33, sh.4rk, sp3p3x, azr43lkn1ght, jl911, gh0stkn1ght, ma1f0y_",Nil
bauhiniactf23-disconnect,['pwn'],"spektr.e, fr1gh7, _r0r1_, justk1r4",Nil
bauhiniactf23-babyrsa,['crypto'],victim1307,2023-08-19 18:25:51.240000
bauhiniactf23-kill_t_browser,"['web', 'misc']","z_pacifist, alfin, ma1f0y_, winters.ggs, lu513n, sk4d, avntka, l0x.me",Nil
bauhiniactf23-telepathy,['misc'],"sh.4rk, azr43lkn1ght, sp3p3x, jl911, dhn5280, _b1u33, gh0stkn1ght, aparna_11, ma1f0y_, lu513n, z_pacifist, winters.ggs, luc_f3r",Nil
bauhiniactf23-god-of-gamblers,['pwn'],"spektr.e, justk1r4",2023-08-19 23:29:18.597000
bauhiniactf23-how_to_stop_time,['crypto'],"0xd15c0, ___apn___, aparna_11, hisoka.fr, Sans, ls.exe",Nil
bauhiniactf23-hansel_and_gretel,['web'],"lu513n, ma1f0y_, winters.ggs",2023-08-20 15:09:55.932000
bauhiniactf23-extrapolation,['misc'],"azr43lkn1ght, sh.4rk, jl911, _b1u33, gh0stkn1ght",2023-08-20 22:35:31.041000
bauhiniactf23-mysqlaas,['web'],"lu513n, winters.ggs, ma1f0y_",2023-08-20 20:26:20.797000
bauhiniactf23-forkmachine,['reverse'],sherlockcheezu,Nil
