Challenge Name,Category,Solved/Attempted by,Solve time
r3ctf24-tpa-02,['forensics'],"azr43lkn1ght, gh0stkn1ght, sp3p3x, __m1m1__",2024-06-08 08:49:11.442000
r3ctf24-feedback-portal,['pwn'],"_r0r1_, silence_, heartstoller, theb4tmite, spektr.e, justk1r4",Nil
r3ctf24-transit,['osint'],"arch_zero, __m1m1__, silence_, kr4z31n, heartstoller, rudraagh",2024-06-09 17:30:26.816000
r3ctf24-modern_wordpress,['web'],"k0w4lzk1, h3ri0s, lu513n, luc_f3r, exigent07, z_pacifist, alfin3313, r0h17h, winters0x168, ma1f0y_",Nil
r3ctf24-scp_0ee,['crypto'],"aerosol., ___apn___, arch_zero, sans8475",Nil
r3ctf24-tpa-01,['forensics'],"azr43lkn1ght, kr4z31n, sp3p3x, gh0stkn1ght, rudraagh, jl_24, hrippi.x_",Nil
r3ctf24-leannum,['reverse'],"sherlockcheezu, retr0ds, the.m3chanic, tricky_ninja, k1n0r4, amunrha",Nil
r3ctf24-r0system,['crypto'],sans8475,2024-06-09 04:14:59.697000
r3ctf24-r3php,['web'],"h3ri0s, exigent07, luc_f3r, avntka, k0w4lzk1, winters0x168, z_pacifist, alfin3313, r0h17h, ma1f0y_",Nil
r3ctf24-blizzard-cn,['misc'],"silence_, theb4tmite, heartstoller",2024-06-08 09:26:51.543000
r3ctf24-call_me,['reverse'],"retr0ds, tricky_ninja, k1n0r4, sherlockcheezu, kndn",Nil
r3ctf24-hide_and_seek,['misc'],"justk1r4, k0w4lzk1, silence_, heartstoller, theb4tmite",2024-06-08 12:28:15.496000
r3ctf24-ninjaclub,['web'],"r0h17h, z_pacifist, k0w4lzk1, exigent07, luc_f3r, h3ri0s, alfin3313, winters0x168, ma1f0y_",Nil
r3ctf24-thief,['ai'],"silence_, heartstoller, kr4z31n, justk1r4, k0w4lzk1, jatin.exe, __m1m1__",Nil
r3ctf24-stack_machine,['reverse'],"retr0ds, tricky_ninja",Nil
r3ctf24-mojogo,['pwn'],"justk1r4, silence_",Nil
r3ctf24-r1system,['crypto'],"sans8475, aerosol.",2024-06-08 16:50:23.555000
r3ctf24-pyploit,['pwn'],"justk1r4, _r0r1_, silence_, heartstoller",Nil
r3ctf24-nsmc,['reverse'],"the.m3chanic, sherlockcheezu, tricky_ninja, k1n0r4, retr0ds",Nil
r3ctf24-justmongo,['web'],"luc_f3r, z_pacifist, winters0x168, h3ri0s, alfin3313",Nil
r3ctf24-tpa-04,['forensics'],"sp3p3x, gh0stkn1ght, __m1m1__, kr4z31n, azr43lkn1ght, hrippi.x_, jl_24",Nil
r3ctf24-h1dendse3k,['misc'],silence_,2024-06-09 10:59:07.262000
r3ctf24-nullullullllu,['pwn'],"heartstoller, silence_, justk1r4, tourpran, _r0r1_",Nil
