Challenge Name,Category,Solved/Attempted by,Solve time
csaw-finals23-dinoauth,['web'],"lu513n, winters.ggs, avntka, luc_f3r, ma1f0y_, hisoka.fr, ___apn___, l0x.me, z_pacifist, .tr4c3, r0h1th_v4rm4, .d_pro, sk4d, alfin, Cap-k",Nil
csaw-finals23-ancient_forensics,['forensics'],"sh.4rk, hridhya, azr43lkn1ght, gh0stkn1ght, jl911, sp3p3x",2023-11-10 19:04:18.033000
csaw-finals23-emoji,['forensics'],"gh0stkn1ght, hridhya, .d_pro, sh.4rk, aparna_11, sp3p3x, jl911, azr43lkn1ght, Sans, ___apn___, ls.exe, dhn5280, hisoka.fr, _r0r1_",Nil
csaw-finals23-brainflop,['pwn'],"tourpran, _r0r1_",2023-11-10 17:41:51.489000
csaw-finals23-hypokrinesthai,['forensics'],"sh.4rk, jl911, azr43lkn1ght, gh0stkn1ght, sp3p3x, hisoka.fr, z_pacifist, ls.exe, l0x.me, spektr.e, alfin, tourpran, luc_f3r, winters.ggs",Nil
csaw-finals23-forensings,['forensics'],"gh0stkn1ght, sh.4rk, hridhya, jl911, azr43lkn1ght, sp3p3x, .d_pro",Nil
csaw-finals23-hieroglyphs,['forensics'],"gh0stkn1ght, sh.4rk, hridhya, sp3p3x, azr43lkn1ght, Sans, spektr.e, winters.ggs",Nil
csaw-finals23-describeme,['crypto'],"ls.exe, victim1307, hisoka.fr, Sans, ___apn___",2023-11-10 01:02:17.375000
csaw-finals23-floating_points,['forensics'],"azr43lkn1ght, sp3p3x, sh.4rk, jl911, gh0stkn1ght, hridhya",2023-11-10 00:47:54.032000
csaw-finals23-textbook-rsa,['crypto'],"ls.exe, hisoka.fr, ___apn___",2023-11-09 23:13:15.556000
csaw-finals23-obfusicated,['pwn'],"justk1r4, tourpran, _r0r1_",2023-11-10 19:38:55.470000
csaw-finals23-unobfusicated,['reverse'],retr0ds,2023-11-09 21:50:00.920000
csaw-finals23-obfuscated,['reverse'],"the_mechanic__, sherlockcheezu",2023-11-10 00:36:22.018000
csaw-finals23-coconuts,['reverse'],"retr0ds, k1n0r4, the_mechanic__, jatin.exe, sherlockcheezu, justk1r4",Nil
csaw-finals23-nervcenter,['crypto'],"aparna_11, hisoka.fr, ___apn___, Sans, victim1307, ls.exe, justk1r4, spektr.e, dhn5280",Nil
csaw-finals23-nft_world,['web'],"ls.exe, lu513n, l0x.me, avntka, ma1f0y_, z_pacifist, winters.ggs, alfin, hisoka.fr, luc_f3r, dhn5280",Nil
csaw-finals23-python_garbageman,['misc'],"z_pacifist, luc_f3r, lu513n, winters.ggs, avntka, alfin, justk1r4, ma1f0y_, spektr.e, ls.exe, ___apn___, aparna_11, Sans, hisoka.fr, tourpran",Nil
csaw-finals23-sigmas_logistics,['misc'],"ls.exe, aparna_11, spektr.e, l0x.me, hisoka.fr, z_pacifist, ___apn___, Sans, _r0r1_, justk1r4, dhn5280",Nil
csaw-finals23-keylogger1,['forensics'],"___apn___, sh.4rk, Sans, gh0stkn1ght, _r0r1_, hisoka.fr, z_pacifist, ls.exe",2023-11-11 06:42:38.938000
csaw-finals23-spill_the_tea,['crypto'],"hisoka.fr, ___apn___, abhishekbharadwaj, dhn5280, victim1307, aparna_11, ls.exe, z_pacifist, l0x.me, luc_f3r, winters.ggs, Sans, alfin, avntka",Nil
csaw-finals23-nervcenterr,['pwn'],"justk1r4, spektr.e, ath3n1x, _r0r1_, tourpran",Nil
csaw-finals23-shreeramquest,['web'],"z_pacifist, hisoka.fr",2023-11-10 11:02:30.673000
csaw-finals23-webhooktester,['web'],"z_pacifist, l0x.me, avntka, .d_pro, alfin, winters.ggs, luc_f3r, ma1f0y_, lu513n",Nil
csaw-finals23-uploaders-revenge,['web'],"z_pacifist, avntka, ma1f0y_, luc_f3r, winters.ggs, l0x.me, alfin",Nil
csaw-finals23-hells,['reverse'],"k1n0r4, retr0ds, sherlockcheezu, the_mechanic__, justk1r4",Nil
csaw-finals23-vectors_machine,['misc'],"ls.exe, hisoka.fr, Sans, _r0r1_, ___apn___, dhn5280, alfin, aparna_11, justk1r4, retr0ds",Nil
csaw-finals23-rapid_cosmic_extermination,['pwn'],"ls.exe, justk1r4, spektr.e, _r0r1_",Nil
csaw-finals23-triathlon_or_sprint,['web'],"hisoka.fr, winters.ggs, luc_f3r, avntka, ma1f0y_",Nil
csaw-finals23-pkg,['reverse'],"sherlockcheezu, jatin.exe, spektr.e, justk1r4, sh.4rk, the_mechanic__, crum6s, retr0ds",Nil
csaw-finals23-email_me,['forensics'],"gh0stkn1ght, sh.4rk, _r0r1_, ___apn___, Sans",Nil
