Challenge Name,Category,Solved/Attempted by,Solve time
ductf23-proxed,['web'],l0x.me,2023-09-01 15:05:44.635000
ductf23-bridgets_back,['osint'],"azr43lkn1ght, gh0stkn1ght",2023-09-01 18:10:46.809000
ductf23-cgi-fridays,['web'],lu513n,2023-09-01 20:22:10.228000
ductf23-bridgekeeper,['reverse'],sherlockcheezu,2023-09-01 15:33:59.716000
ductf23-actually-proxed,['web'],.yadhu,2023-09-01 20:12:03.604000
ductf23-vroom-vroom,['pwn'],"spektr.e, fr1gh7, _r0r1_, tourpran",Nil
ductf23-monke_bars,['osint'],"gh0stkn1ght, sh.4rk, azr43lkn1ght",2023-09-02 14:40:26.963000
ductf23-great_escape,['pwn'],_r0r1_,2023-09-01 19:04:22.066000
ductf23-shifty_mem,['pwn'],"tourpran, justk1r4, _r0r1_, fr1gh7",Nil
ductf23-ms_flag,['reverse'],"the_mechanic__, retr0ds, shinobu5005, sherlockcheezu, ad0lphus, k1n0r4",Nil
ductf23-faraday,['osint'],azr43lkn1ght,2023-09-01 19:10:51.173000
ductf23-pyny,['reverse'],"shinobu5005, sherlockcheezu",Nil
ductf23-safe-calculator,['pwn'],tourpran,2023-09-01 19:57:48.342000
ductf23-smooth-jazz,['web'],"lu513n, z_pacifist, ma1f0y_, avntka, alfin, sk4d, l0x.me, luc_f3r",Nil
ductf23-static_file_server,['web'],winters.ggs,2023-09-01 20:48:14.304000
ductf23-xxd_server,['web'],"z_pacifist, alfin",2023-09-03 14:48:04.953000
ductf23-shipwreck,['osint'],"gh0stkn1ght, jl911, azr43lkn1ght, _b1u33, fr1gh7, z_pacifist",Nil
ductf23-spacegame,['reverse'],"sherlockcheezu, the_mechanic__, k1n0r4",Nil
ductf23-grades_grades,['web'],winters.ggs,2023-09-02 10:04:36.065000
ductf23-comeacroppa,['osint'],gh0stkn1ght,2023-09-02 12:37:39.720000
ductf23-rogueful_helper,['misc'],azr43lkn1ght,Nil
ductf23-strapi_in,['web'],"z_pacifist, lu513n",2023-09-02 17:23:45.228000
ductf23-apbq_rsa_i,['crypto'],ls.exe,Nil
ductf23-secureblog,['web'],"lu513n, ma1f0y_, alfin, z_pacifist",Nil
