Challenge Name,Category,Solved/Attempted by,Solve time
bhmea-quals23-usb100,['forensics'],"azr43lkn1ght, sh.4rk, gh0stkn1ght, jl911",2023-10-08 20:14:45.411000
bhmea-quals23-profile,['pwn'],"tourpran, _r0r1_",2023-10-09 13:55:19.198000
bhmea-quals23-octopodal,['crypto'],"azr43lkn1ght, hisoka.fr, ___apn___, aparna_11, ls.exe, 0xd15c0, dhn5280, Sans",Nil
bhmea-quals23-what_am_i,['reverse'],"_r0r1_, ad0lphus, the_mechanic__, amunrha, azr43lkn1ght, k1n0r4, sherlockcheezu, retr0ds",Nil
bhmea-quals23-memstream,['pwn'],"_r0r1_, spektr.e, tourpran, justk1r4, fr1gh7",Nil
bhmea-quals23-not_supported,['forensics'],"azr43lkn1ght, sh.4rk, gh0stkn1ght, jl911",2023-10-08 20:13:22.283000
bhmea-quals23-can_you_break_the_armor,['reverse'],"_r0r1_, the_mechanic__, azr43lkn1ght, k1n0r4, retr0ds",Nil
bhmea-quals23-authy,['web'],lu513n,2023-10-08 19:22:53.108000
bhmea-quals23-extend,['forensics'],"azr43lkn1ght, gh0stkn1ght, jl911, sh.4rk, _b1u33, sp3p3x",Nil
bhmea-quals23-hardy,['web'],"azr43lkn1ght, winters.ggs, sk4d, lu513n, ma1f0y_, z_pacifist, alfin, l0x.me, luc_f3r",Nil
bhmea-quals23-light_up,['reverse'],"_r0r1_, retr0ds, amunrha",Nil
bhmea-quals23-warm_me_up,['web'],"z_pacifist, ma1f0y_",2023-10-09 13:18:30.944000
bhmea-quals23-acceptance,['crypto'],"azr43lkn1ght, ls.exe, ___apn___, hisoka.fr, 0xd15c0",Nil
