Challenge Name,Category,Solved/Attempted by,Solve time
hacktheon-quals24-findiff,['pwn'],"justk1r4, tourpran, _r0r1_, silence_, spektr.e, heartstoller",2024-04-27 07:09:29.865000
hacktheon-quals24-ms,['misc'],"azr43lkn1ght, z_pacifist, gh0stkn1ght, jl_24, sp3p3x, rudraagh, kr4z31n",2024-04-27 06:26:25.401000
hacktheon-quals24-revact,['web'],"luc_f3r, winters0x168, z_pacifist, alfin3313, k0w4lzk1",2024-04-27 11:50:13.926000
hacktheon-quals24-decrypt_message,['reverse'],"the.m3chanic, k1n0r4, retr0ds, sherlockcheezu, tricky_ninja",2024-04-27 07:08:33.615000
hacktheon-quals24-confidential,['misc'],"azr43lkn1ght, gh0stkn1ght, jl_24, sp3p3x, rudraagh, kr4z31n",2024-04-27 06:26:47.871000
hacktheon-quals24-dog_gallery,['web'],"z_pacifist, l0x.me, lu513n",2024-04-27 07:30:30.263000
hacktheon-quals24-chainrpc,['reverse'],"hisoka.fr, sans8475, aerosol., ___apn___, rudraagh, __m1m1__, kr4z31n, spektr.e, retr0ds, sherlockcheezu, the.m3chanic, k1n0r4, tricky_ninja, silence_, justk1r4, z_pacifist, heartstoller, alfin3313, b4tmite, winters0x168",Nil
hacktheon-quals24-rumor1,['forensics'],"azr43lkn1ght, gh0stkn1ght, jl_24, sp3p3x, rudraagh, kr4z31n",2024-04-27 07:04:56.950000
hacktheon-quals24-account,['pwn'],"justk1r4, spektr.e, b4tmite, heartstoller, silence_, k1n0r4, tourpran, retr0ds, the.m3chanic",Nil
hacktheon-quals24-rumor2,['forensics'],"azr43lkn1ght, sp3p3x, jl_24, gh0stkn1ght, rudraagh, kr4z31n",2024-04-27 07:40:23.624000
hacktheon-quals24-rumor3,['forensics'],"azr43lkn1ght, jl_24, gh0stkn1ght, sp3p3x, rudraagh, kr4z31n, hrippi.x_, __m1m1__",2024-04-27 07:50:50.540000
hacktheon-quals24-rumor4,['forensics'],"azr43lkn1ght, jl_24, gh0stkn1ght, sp3p3x, hrippi.x_, rudraagh, kr4z31n, __m1m1__",2024-04-27 08:00:32.386000
hacktheon-quals24-png,['misc'],"azr43lkn1ght, retr0ds, jl_24, hrippi.x_, sp3p3x, gh0stkn1ght, rudraagh, kr4z31n, __m1m1__",2024-04-27 08:02:13.599000
hacktheon-quals24-rumor5,['forensics'],"azr43lkn1ght, gh0stkn1ght, jl_24, sp3p3x, hrippi.x_, rudraagh, kr4z31n, __m1m1__",2024-04-27 08:07:32.243000
hacktheon-quals24-githubreadme,['web'],"alfin3313, z_pacifist, luc_f3r",2024-04-27 09:45:44.453000
hacktheon-quals24-intelitigation,['pwn'],"silence_, _r0r1_, justk1r4",2024-04-27 14:37:31.534000
hacktheon-quals24-tracker1,['forensics'],"azr43lkn1ght, sp3p3x, jl_24, gh0stkn1ght, hrippi.x_",2024-04-27 11:52:00.774000
hacktheon-quals24-tracker2,['forensics'],"azr43lkn1ght, jl_24, gh0stkn1ght, sp3p3x, hrippi.x_",2024-04-27 11:43:31.987000
hacktheon-quals24-backtest,['misc'],"z_pacifist, hisoka.fr, heartstoller, sans8475, l0x.me, alfin3313, avntka, k1n0r4, retr0ds",Nil
hacktheon-quals24-tracker3,['forensics'],"azr43lkn1ght, jl_24, sp3p3x, gh0stkn1ght, hrippi.x_",2024-04-27 11:48:41.245000
hacktheon-quals24-stegoart,['forensics'],"azr43lkn1ght, rudraagh, __m1m1__, kr4z31n, sp3p3x, gh0stkn1ght, jl_24, hrippi.x_",2024-04-27 12:22:02.989000
