Challenge Name,Category,Solved/Attempted by,Solve time
squarectf23-crypto_slide_quest,['crypto'],"ls.exe, hisoka.fr, aparna_11",2023-11-18 00:06:07.147000
squarectf23-tank,['pwn'],"justk1r4, _r0r1_",2023-11-18 15:21:15.834000
squarectf23-same,['forensics'],"gh0stkn1ght, sh.4rk, hridhya",2023-11-18 00:42:08.261000
squarectf23-be_the_admin,['web'],winters.ggs,2023-11-17 23:36:35.880000
squarectf23-hackerisu_level_1,['pwn'],"tourpran, ath3n1x, spektr.e, _r0r1_, justk1r4, crum6s, the_mechanic__, ls.exe, z_pacifist, Sans, lu513n, hisoka.fr",Nil
squarectf23-just_go_around,['web'],winters.ggs,2023-11-18 02:15:38.457000
squarectf23-guess_the_password,['reverse'],"retr0ds, k1n0r4, ls.exe",2023-11-18 01:47:31.277000
squarectf23-roplon,['pwn'],_r0r1_,2023-11-17 23:56:12.803000
squarectf23-bug,['reverse'],"jatin.exe, retr0ds, sherlockcheezu, k1n0r4, the_mechanic__",2023-11-18 07:59:17.841000
squarectf23-encrcroach,"['crypto', 'web']",ls.exe,2023-11-18 06:37:03.660000
squarectf23-pseudo_lottery,['crypto'],"ls.exe, hisoka.fr",2023-11-18 01:14:03.042000
squarectf23-emoji_hunt2,['misc'],"sh.4rk, gh0stkn1ght, Sans, hridhya",2023-11-18 17:17:29.399000
squarectf23-naus_proc,"['reverse', 'pwn']","the_mechanic__, tourpran, _r0r1_, sherlockcheezu",2023-11-18 04:49:17.978000
squarectf23-there_is_a_bug,['reverse'],jatin.exe,2023-11-18 02:23:45.230000
squarectf23-halloweened,['reverse'],"retr0ds, k1n0r4, crum6s, gh0stkn1ght, jatin.exe",Nil
squarectf23-orakl,['reverse'],"the_mechanic__, jatin.exe, sherlockcheezu, ls.exe, retr0ds, tourpran",2023-11-18 07:53:18.799000
squarectf23-chessbros,['misc'],"ls.exe, hisoka.fr",2023-11-18 03:14:56.297000
squarectf23-hackerisu_level_0,['misc'],"gh0stkn1ght, sh.4rk, spektr.e, aparna_11, ___apn___, retr0ds, jatin.exe, crum6s, k1n0r4, z_pacifist, ls.exe, ath3n1x, sherlockcheezu, the_mechanic__, winters.ggs, tourpran, _r0r1_, Sans, justk1r4, lu513n, hisoka.fr",Nil
squarectf23-danggit,['misc'],"spektr.e, justk1r4, retr0ds, gh0stkn1ght, ___apn___, crum6s, k1n0r4, hisoka.fr, ls.exe, z_pacifist, alfin, l0x.me, winters.ggs, Sans, sh.4rk, avntka, luc_f3r, hridhya, lu513n, ath3n1x",Nil
