Challenge Name,Category,Solved/Attempted by,Solve time
midnightsunctf24-roborop,['pwn'],"b4tmite, justk1r4, silence_, _r0r1_, spektr.e, heartstoller",Nil
midnightsunctf24-aspowertools,['web'],"k0w4lzk1, r0h17h, z_pacifist, lu513n, avntka, l0x.me, exigent07, luc_f3r, ma1f0y_, 570rmbreaker, b4tmite",Nil
midnightsunctf24-m1cr0-bl4z31ng-420,['pwn'],"justk1r4, _r0r1_, silence_, b4tmite, spektr.e, heartstoller",Nil
midnightsunctf24-insanity,['misc'],"rudraagh, k0w4lzk1, kr4z31n, __m1m1__, heartstoller, z_pacifist",2024-04-20 22:14:53.821000
midnightsunctf24-1mag1n3-dr4g0nfly,['crypto'],"___apn___, sans8475, aerosol., b4tmite",Nil
midnightsunctf24-sourceless,['web'],"lu513n, ma1f0y_, luc_f3r, winters0x168",2024-04-21 10:32:43.584000
midnightsunctf24-heterograph,['web'],"exigent07, ma1f0y_, h3ri0s, lu513n, k0w4lzk1, avntka",2024-04-20 17:50:13.554000
midnightsunctf24-awkw4ard,['web'],"lu513n, ma1f0y_, luc_f3r, winters0x168, z_pacifist, k0w4lzk1, avntka, l0x.me, h3ri0s, r0h17h, exigent07, alfin3313, b4tmite",Nil
midnightsunctf24-minus10,['reverse'],"jatin.exe, wieldinsand, retr0ds, tricky_ninja, spektr.e, amunrha, b4tmite",Nil
midnightsunctf24-roprot,['reverse'],"tricky_ninja, k1n0r4, sherlockcheezu, retr0ds, the.m3chanic, amunrha, wieldinsand, b4tmite",Nil
midnightsunctf24-plus907,['crypto'],"jatin.exe, ___apn___, b4tmite",Nil
midnightsunctf24-spd-a,['pwn'],"_r0r1_, justk1r4, silence_, heartstoller",2024-04-20 21:11:17.348000
midnightsunctf24-jiaware,['pwn'],"heartstoller, b4tmite, justk1r4, _r0r1_, spektr.e",Nil
midnightsunctf24-rockyoudle,['misc'],"exigent07, __m1m1__, 570rmbreaker, kr4z31n, k0w4lzk1, z_pacifist, h3ri0s, hrippi.x_, tricky_ninja, rudraagh, silence_, aerosol., heartstoller, gh0stkn1ght, b4tmite, 5h4rrk",Nil
midnightsunctf24-spd-b,['pwn'],"justk1r4, b4tmite, _r0r1_, heartstoller, silence_, tourpran",Nil
midnightsunctf24-spd-c,['pwn'],justk1r4,2024-04-21 11:17:44.376000
midnightsunctf24-07u4,['reverse'],"the.m3chanic, sherlockcheezu",2024-04-21 05:09:26.916000
midnightsunctf24-spd-d,['pwn'],"tourpran, b4tmite, heartstoller",2024-04-21 12:37:37.731000
midnightsunctf24-modern,['web'],"l0x.me, avntka, lu513n, alfin3313, z_pacifist, ma1f0y_, luc_f3r, b4tmite",Nil
midnightsunctf24-spd-e,['pwn'],heartstoller,2024-04-21 12:01:51.487000
