Challenge Name,Category,Solved/Attempted by,Solve time
secconquals24-make-rop-great-again,['pwn'],"_r0r1_, heartstoller, silence_",2024-11-24 09:41:51.898000
secconquals24-dual_summon,['crypto'],"sans8475, ___apn___",2024-11-24 09:23:53.544000
secconquals24-trillionether,['blockchain'],t0r4n4d0,2024-11-24 07:33:29.115000
secconquals24-paragraph,['pwn'],"_r0r1_, theb4tmite, heartstoller",2024-11-24 06:14:15.510000
secconquals24-babyqemu,['pwn'],"justk1r4, spektr.e",2024-11-24 05:22:14.526000
secconquals24-reiwa_rot13,['crypto'],"hisoka.fr, ls.exe, aerosol., ___apn___",2024-11-23 15:04:55.931000
secconquals24-packed,['reverse'],"the.m3chanic, k1n0r4, retr0ds, sherlockcheezu",2024-11-23 12:48:25.877000
secconquals24-trillionbank,['web'],"k0w4lzk1, luc_f3r, ma1f0y_, winters0x168, z_pacifist, exigent07, alfin3313, ___apn___, h3ri0s",Nil
secconquals24-reaction,['reverse'],"blackdemon112, silence_, theb4tmite",Nil
secconquals24-free_free_free,['pwn'],"tourpran, heartstoller, theb4tmite, silence_, spektr.e, justk1r4, _r0r1_",Nil
secconquals24-jump,['reverse'],"retr0ds, k1n0r4, the.m3chanic, sherlockcheezu, blackdemon112, silence_, theb4tmite",Nil
secconquals24-f_for_flag,['reverse'],"k1n0r4, silence_, theb4tmite, sherlockcheezu",Nil
secconquals24-self-ssrf,['web'],"k0w4lzk1, winters0x168, z_pacifist, alfin3313, h3ri0s, exigent07",Nil
