Challenge Name,Category,Solved/Attempted by,Solve time
idekctf24-writeme,['pwn'],"silence_, spektr.e, _r0r1_, tourpran, theb4tmite, heartstoller, justk1r4",Nil
idekctf24-nmpz-easy,['osint'],silence_,2024-08-17 07:12:07.724000
idekctf24-nmpz-medium,['osint'],"komalrao, d_s_g_, silence_, heartstoller, theb4tmite",2024-08-18 00:51:28.326000
idekctf24-a_silence_of_three_parts,['pwn'],"_r0r1_, spektr.e",2024-08-19 04:10:22.036000
idekctf24-hello,['web'],"h3ri0s, z_pacifist, exigent07, k0w4lzk1, ma1f0y_",2024-08-17 16:47:29.552000
idekctf24-golden_ticket,['crypto'],hisoka.fr,2024-08-17 17:47:11.294000
idekctf24-game,['reverse'],"sherlockcheezu, kndn, retr0ds",2024-08-17 20:43:02.851000
idekctf24-hide_n_seek,['reverse'],"sherlockcheezu, retr0ds, the.m3chanic",Nil
idekctf24-npmz-hard,['misc'],"theb4tmite, heartstoller, spektr.e, komalrao, silence_, kr4z31n, __m1m1__, kndn, z_pacifist, exigent07, h3ri0s, arch_zero, k0w4lzk1",Nil
idekctf24-moon,['reverse'],"the.m3chanic, k1n0r4, retr0ds, sherlockcheezu, kndn",Nil
idekctf24-untitled-smarty-challenge,['web'],"exigent07, k0w4lzk1, winters0x168, h3ri0s, alfin3313, z_pacifist, lu513n, ma1f0y_, luc_f3r",Nil
idekctf24-gambler,['pwn'],silence_,2024-08-18 00:24:12.640000
idekctf24-baby_bundle,['crypto'],"ls.exe, hisoka.fr",2024-08-18 17:44:17.678000
idekctf24-srcdoc-memos,['web'],"exigent07, z_pacifist, alfin3313, lu513n, h3ri0s, k0w4lzk1, 570rmbreaker, ma1f0y_, luc_f3r",Nil
idekctf24-dead-pwners-society,['pwn'],"justk1r4, heartstoller, theb4tmite, _r0r1_, tourpran, spektr.e, silence_",Nil
idekctf24-seedy,['crypto'],"___apn___, arch_zero, aerosol., ls.exe, hisoka.fr",Nil
idekctf24-crator,['web'],ma1f0y_,2024-08-18 13:40:23.222000
idekctf24-ribasu_metronome,['reverse'],"retr0ds, kndn, k1n0r4, heartstoller",Nil
idekctf24-includeme,['web'],"ma1f0y_, k0w4lzk1, luc_f3r, exigent07, h3ri0s, lu513n, z_pacifist, alfin3313",Nil
idekctf24-minecraft,['misc'],k0w4lzk1,2024-08-18 15:27:00.490000
