Challenge Name,Category,Solved/Attempted by,Solve time
uoftctf24-my_first_app,['web'],"luc_f3r, z_pacifist, lu513n, winters0x168, ma1f0y_, alfin",2024-01-15 01:23:58.480000
uoftctf24-secret_message_1,['forensics'],hrippi.x_,2024-01-13 22:53:52.675000
uoftctf24-secret_message_2,['forensics'],"sp3p3x, jl_24, hrippi.x_, azr43lkn1ght, gh0stkn1ght, sh.4rk",Nil
uoftctf24-baby_first_pyjail,['misc'],tourpran,2024-01-13 22:53:35.865000
uoftctf24-zero,['misc'],"tourpran, justk1r4, im._.a.p",2024-01-14 13:33:08.557000
uoftctf24-banking_app,['reverse'],"the.m3chanic, justk1r4, k1n0r4, retr0ds",Nil
uoftctf24-varsity,['web'],winters0x168,2024-01-13 23:21:36.984000
uoftctf24-jays_bank,['web'],"luc_f3r, alfin, winters0x168, z_pacifist",2024-01-14 22:49:34.671000
uoftctf24-nothing-to-return,['pwn'],tourpran,2024-01-13 23:30:57.428000
uoftctf24-guestbook,['web'],ma1f0y_,2024-01-14 00:02:35.450000
uoftctf24-clever_thinking,['crypto'],Sans,2024-01-14 03:10:18.634000
uoftctf24-no_code,['web'],winters0x168,2024-01-14 02:52:58.088000
uoftctf24-source_code_recovery,['misc'],"___apn___, _r0r1_, im._.a.p, justk1r4, tourpran, ath3n1x",Nil
uoftctf24-hourglass,['forensics'],"gh0stkn1ght, jl_24, azr43lkn1ght, sh.4rk, hrippi.x_, sp3p3x",Nil
uoftctf24-no-grep,['forensics'],"azr43lkn1ght, sh.4rk, jl_24, hrippi.x_, gh0stkn1ght",2024-01-14 11:53:01.372000
uoftctf24-baby_js_blacklist,['misc'],"tourpran, justk1r4",2024-01-14 14:56:01.916000
uoftctf24-js_blacklist,['misc'],"justk1r4, alfin, tourpran, ma1f0y_, z_pacifist, lu513n",Nil
uoftctf24-css,['reverse'],"k1n0r4, the.m3chanic",2024-01-14 16:07:40.026000
uoftctf24-export_grade_cipher,['crypto'],"im._.a.p, Sans, ___apn___, ls.exe",Nil
uoftctf24-enable_me,['forensics'],"sh.4rk, azr43lkn1ght, jl_24, hrippi.x_",2024-01-14 18:57:43.961000
uoftctf24-illusion,['forensics'],"sp3p3x, azr43lkn1ght, gh0stkn1ght, sh.4rk, jl_24, hrippi.x_",Nil
uoftctf24-maze,['reverse'],"the.m3chanic, retr0ds, k1n0r4",2024-01-14 21:00:29.224000
uoftctf24-out_of_the_bucket_2,['misc'],"z_pacifist, winters0x168",2024-01-14 22:04:22.837000
uoftctf24-worble,['reverse'],"sherlockcheezu, retr0ds, Sans",2024-01-14 22:48:33.487000
uoftctf24-love_debug,['reverse'],k1n0r4,2024-01-15 00:37:17.259000
