Challenge Name,Category,Solved/Attempted by,Solve time
volgactf24-warm_of_pon,['pwn'],"_r0r1_, silence_",2024-03-30 21:28:55.697000
volgactf24-make_a_difference,['forensics'],"azr43lkn1ght, its_me_ask, silence_, __m1m1__, 5h4rrk, sp3p3x, gh0stkn1ght, jl_24, j0dh7, hrippi.x_",2024-03-31 15:09:44.242000
volgactf24-pq,['crypto'],___apn___,2024-03-30 21:36:08.125000
volgactf24-find_the_flag_3,['web'],"exigent07, r0h1t.pxh, k0w4lsk1_",2024-03-31 00:19:37.073000
volgactf24-tales,['forensics'],"__m1m1__, j0dh7, hrippi.x_, spektr.e, sp3p3x, its_me_ask, gh0stkn1ght, silence_, heartstoller, jl_24, 5h4rrk, retr0ds, k0w4lsk1_, z_pacifist",Nil
volgactf24-cucrackme,['reverse'],"tricky_ninja, the.m3chanic, sherlockcheezu, kndn, retr0ds, justk1r4, spektr.e",Nil
volgactf24-qr,['crypto'],"ls.exe, hisoka.fr, sans8475",2024-03-31 19:05:22.867000
volgactf24-reanimation,['forensics'],"azr43lkn1ght, 5h4rrk, its_me_ask, gh0stkn1ght, hrippi.x_, __m1m1__, j0dh7, sp3p3x, jl_24",2024-03-31 14:22:05.880000
volgactf24-greasepaint,['forensics'],"gh0stkn1ght, 5h4rrk, azr43lkn1ght, hrippi.x_, its_me_ask, j0dh7, jl_24, __m1m1__, z_pacifist, spektr.e",Nil
volgactf24-ponatural_selection,['pwn'],_r0r1_,2024-03-31 07:19:52.145000
volgactf24-single_r,['crypto'],hisoka.fr,2024-03-31 02:26:12.360000
volgactf24-tridea,['reverse'],"tricky_ninja, sherlockcheezu, aerosol., k1n0r4, retr0ds, justk1r4, ___apn___, spektr.e, ls.exe, hisoka.fr, the.m3chanic, kndn",Nil
volgactf24-rusted_nail,['misc'],"tourpran, z_pacifist, justk1r4",2024-03-31 15:05:58.418000
volgactf24-zeliard_tales,['misc'],"spektr.e, silence_, heartstoller, retr0ds",2024-03-31 16:51:50.678000
