Challenge Name,Category,Solved/Attempted by,Solve time
aaactf23-craftcms,['web'],"lu513n, ma1f0y_, winters.ggs, avntka, z_pacifist",2023-10-29 20:01:18.966000
aaactf23-master_of_orw,['pwn'],"spektr.e, justk1r4, _r0r1_, tourpran, ath3n1x",Nil
aaactf23-signin,['misc'],"z_pacifist, hisoka.fr, spektr.e, alfin, sh.4rk",2023-10-28 17:44:18.886000
aaactf23-blind,['pwn'],"spektr.e, justk1r4, _r0r1_, ath3n1x, tourpran",Nil
aaactf23-easyvirtio,['pwn'],"spektr.e, justk1r4, ath3n1x, _r0r1_",Nil
aaactf23-mdh,['crypto'],ls.exe,2023-10-28 13:10:59.766000
aaactf23-easyrsa,['crypto'],"hisoka.fr, ls.exe, ___apn___, Sans, aparna_11, victim1307, dhn5280",Nil
aaactf23-qemu_playground_2,['pwn'],"spektr.e, justk1r4, ath3n1x, _r0r1_",Nil
aaactf23-qemu_playground,['reverse'],"k1n0r4, the_mechanic__, retr0ds, sherlockcheezu, jatin.exe",Nil
aaactf23-obfuse,['reverse'],"k1n0r4, retr0ds, the_mechanic__, jatin.exe",Nil
aaactf23-nativeapp,['reverse'],"k1n0r4, jatin.exe, retr0ds",Nil
aaactf23-clawcrane,['crypto'],"hisoka.fr, ___apn___, Sans, aparna_11, ls.exe, dhn5280, victim1307",Nil
aaactf23-mtspeedrun,['crypto'],"hisoka.fr, Sans, ___apn___, ls.exe, dhn5280, victim1307",Nil
aaactf23-easy_netlink,['pwn'],"spektr.e, justk1r4, _r0r1_",Nil
aaactf23-midrsa,['crypto'],"___apn___, dhn5280, Sans, hisoka.fr",Nil
aaactf23-easylatex,['web'],lu513n,2023-10-29 22:42:35.619000
aaactf23-mygo,['web'],"winters.ggs, lu513n, alfin",2023-10-29 22:23:50.053000
aaactf23-amm,['web'],"lu513n, winters.ggs, alfin, avntka, z_pacifist, l0x.me",Nil
