Challenge Name,Category,Solved/Attempted by,Solve time
nahamcon24-1337_malware,['forensics'],"silence_, gh0stkn1ght, rudraagh, kr4z31n, sp3p3x",2024-05-24 15:17:58.664000
nahamcon24-gopherflow,['pwn'],"silence_, theb4tmite, tourpran, jatin.exe, heartstoller, _r0r1_, justk1r4, spektr.e",Nil
nahamcon24-so-much-cache,['pwn'],"tourpran, silence_, theb4tmite",2024-05-24 01:09:46.110000
nahamcon24-base3200,['misc'],"silence_, theb4tmite, jarvis",2024-05-24 01:16:26.084000
nahamcon24-breath_of_the_wild,['forensics'],"sp3p3x, gh0stkn1ght, kr4z31n, 5h4rrk, jl_24, azr43lkn1ght, hrippi.x_, jatin.exe, __m1m1__, heartstoller, silence_, rudraagh",Nil
nahamcon24-kittykittybangbang,['android'],drunknb0tch,2024-05-24 00:45:49.271000
nahamcon24-magic_rsa,['crypto'],aerosol.,2024-05-24 00:43:21.608000
nahamcon24-encryption_server,['crypto'],sans8475,2024-05-24 04:03:11.304000
nahamcon24-perfectly_legit_crypto_casino,['android'],drunknb0tch,2024-05-24 01:40:10.340000
nahamcon24-taking_up_residence,['forensics'],"gh0stkn1ght, jl_24, sp3p3x, azr43lkn1ght",2024-05-24 01:08:54.098000
nahamcon24-idoor,['web'],h3ri0s,2024-05-24 00:49:37.144000
nahamcon24-jack_be,['pentest'],"drunknb0tch, .d_pro, r0h17h, jatin.exe, 570rmbreaker, heartstoller, silence_, lu513n, z_pacifist, 0kay4nu, xbr01",Nil
nahamcon24-logjam,['forensics'],"5h4rrk, gh0stkn1ght, azr43lkn1ght, sp3p3x, jl_24",2024-05-25 15:12:12.041000
nahamcon24-lockedbox,['reverse'],retr0ds,2024-05-24 11:07:25.192000
nahamcon24-copypasta,['misc'],"drunknb0tch, .d_pro",2024-05-24 01:54:01.489000
nahamcon24-thomas,['web'],".d_pro, jatin.exe, heartstoller, silence_, lu513n, z_pacifist, r0h17h, 570rmbreaker, alfin3313, k0w4lzk1, h3ri0s, avntka, exigent07, winters0x168",Nil
nahamcon24-brain_melt2,['misc'],"sp3p3x, azr43lkn1ght, jl_24, gh0stkn1ght",2024-05-24 02:54:42.284000
nahamcon24-indicium,['ai'],"azr43lkn1ght, sp3p3x, jl_24, gh0stkn1ght, sans8475",2024-05-24 02:28:08.355000
nahamcon24-lottery,['crypto'],"sans8475, ls.exe, aerosol.",2024-05-24 22:35:25.089000
nahamcon24-hashes_on_hashes,['crypto'],jatin.exe,2024-05-24 05:04:13.570000
nahamcon24-not_quite_same,['misc'],jatin.exe,2024-05-24 05:29:01.253000
nahamcon24-feeling_tense,['ai'],jatin.exe,2024-05-24 10:18:58.094000
nahamcon24-thebox,['reverse'],k1n0r4,2024-05-24 11:25:00.278000
nahamcon24-breaking_point,['reverse'],"the.m3chanic, k1n0r4",2024-05-25 01:22:01.968000
nahamcon24-securesurfer,['misc'],"jatin.exe, ___apn___",2024-05-24 12:06:04.078000
nahamcon24-davincicode,['web'],"h3ri0s, alfin3313, 570rmbreaker, exigent07",2024-05-24 16:09:16.929000
nahamcon24-ring_cycles,['reverse'],"k1n0r4, the.m3chanic, kndn, sherlockcheezu, tricky_ninja, spektr.e",Nil
nahamcon24-hackerwebstore,['web'],"k0w4lzk1, .d_pro, z_pacifist, alfin3313, winters0x168",2024-05-24 22:45:50.462000
nahamcon24-guitar,['android'],lu77_u,2024-05-24 20:20:20.339000
nahamcon24-ringcycle2,['reverse'],tricky_ninja,2024-05-24 20:14:34.585000
nahamcon24-ringcycle3,['reverse'],"tricky_ninja, spektr.e, the.m3chanic",Nil
nahamcon24-macro_madness,['forensics'],"5h4rrk, gh0stkn1ght, jl_24, hisoka.fr, ___apn___, __m1m1__, kr4z31n, rudraagh",2024-05-25 22:29:40.987000
nahamcon24-blackjack,['crypto'],"___apn___, aerosol., sans8475, ls.exe, arch_zero",Nil
nahamcon24-buggyjumper,['android'],drunknb0tch,2024-05-25 18:43:12.967000
nahamcon24-flyaway_1,['android'],"drunknb0tch, xbr01, 0kay4nu",2024-05-25 22:30:14.175000
nahamcon24-buggyjumper_2,['android'],drunknb0tch,2024-05-25 22:20:25.496000
nahamcon24-flyaway_2,['android'],"drunknb0tch, xbr01, 0kay4nu",Nil
