Challenge Name,Category,Solved/Attempted by,Solve time
umassctf24-third_times_the_charm,['crypto'],aerosol.,2024-04-20 05:02:39.996000
umassctf24-meet_my_computer_wife_karen,['forensics'],"gh0stkn1ght, kr4z31n, 5h4rrk, __m1m1__, rudraagh",2024-04-20 11:55:47.041000
umassctf24-holesome_birthday_party,['web'],k0w4lzk1,2024-04-20 06:52:27.740000
umassctf24-mitigations,['pwn'],_r0r1_,2024-04-21 22:12:30.613000
umassctf24-bench-225,['pwn'],silence_,2024-04-20 07:48:52.339000
umassctf24-crabby-clicker,['web'],"luc_f3r, r0h17h",2024-04-20 09:55:34.509000
umassctf24-shuffling_as_a_service,['crypto'],"sans8475, jatin.exe",2024-04-20 16:35:02.644000
umassctf24-victory_thy_name_is_plankton,['forensics'],"azr43lkn1ght, retr0ds, jl_24, gh0stkn1ght, sp3p3x, hrippi.x_",2024-04-21 07:08:29.286000
umassctf24-do_drivers_of_torture_count,['forensics'],"jl_24, amunrha, azr43lkn1ght, gh0stkn1ght, sp3p3x, hrippi.x_, 5h4rrk",2024-04-22 03:12:31.611000
umassctf24-spongebobs_homepage,['web'],"exigent07, b4tmite, k0w4lzk1, 570rmbreaker",2024-04-20 10:40:27.216000
umassctf24-100-degrees,['misc'],hisoka.fr,2024-04-20 10:19:31.913000
umassctf24-polyglot,['misc'],"570rmbreaker, k0w4lzk1",2024-04-20 15:38:39.041000
umassctf24-future_router,['web'],"exigent07, z_pacifist, k0w4lzk1, l0x.me, luc_f3r, winters0x168, alfin3313",2024-04-20 14:32:54.639000
umassctf24-free_delivery,['reverse'],"the.m3chanic, tricky_ninja, k1n0r4",2024-04-20 17:19:46.138000
umassctf24-magic_conch,['reverse'],k1n0r4,2024-04-20 11:40:51.312000
umassctf24-red40,['pwn'],"_r0r1_, silence_",2024-04-20 15:46:40.732000
umassctf24-brutal_mog,['crypto'],"___apn___, sans8475",2024-04-20 15:52:00.778000
umassctf24-reader_exercise,['crypto'],"sans8475, hisoka.fr, ___apn___, aerosol., ls.exe, gh0stkn1ght",Nil
umassctf24-fructose,['reverse'],"sherlockcheezu, k1n0r4, retr0ds",2024-04-20 15:49:17.266000
umassctf24-krusty-katering,['misc'],"justk1r4, z_pacifist, sans8475",2024-04-20 19:15:30.027000
umassctf24-cache-cache,['web'],"r0h17h, k0w4lzk1, h3ri0s, exigent07, l0x.me, avntka, .d_pro, z_pacifist, ma1f0y_, luc_f3r, winters0x168, lu513n",Nil
umassctf24-magic_ungathering,['misc'],"__m1m1__, rudraagh, exigent07, kr4z31n, heartstoller",2024-04-21 10:36:54.038000
umassctf24-stop-the-voices,['misc'],"rudraagh, kr4z31n, h3ri0s, k0w4lzk1, __m1m1__, heartstoller, sp3p3x",2024-04-21 10:04:58.242000
umassctf24-agent-p,['misc'],"heartstoller, b4tmite, k0w4lzk1, kr4z31n, __m1m1__, rudraagh, tricky_ninja, hrippi.x_, gh0stkn1ght, h3ri0s",2024-04-21 15:17:06.642000
umassctf24-aspartame,['reverse'],"the.m3chanic, sherlockcheezu",2024-04-21 17:35:54.926000
umassctf24-primitive-reversing,['reverse'],"the.m3chanic, sherlockcheezu, tricky_ninja, silverf3lix, sourag, r3xnation",Nil
umassctf24-maltodextrin,['reverse'],"r3xnation, silverf3lix, sourag",2024-04-22 02:08:30.867000
