Challenge Name,Category,Solved/Attempted by,Solve time
asisctf-quals23-hello,['web'],"winters.ggs, luc_f3r, ma1f0y_, lu513n",2023-09-23 01:23:36.327000
asisctf-quals23-buzz,['reverse'],"the_mechanic__, sherlockcheezu",2023-09-23 00:21:13.683000
asisctf-quals23-hipwn,['pwn'],"tourpran, _r0r1_",2023-09-22 22:55:44.398000
asisctf-quals23-crand_all,['crypto'],"0xd15c0, ___apn___",Nil
asisctf-quals23-nightjs,['pwn'],"tourpran, _r0r1_, justk1r4, ath3n1x, fr1gh7",Nil
asisctf-quals23-yet_another_calc,['web'],"luc_f3r, ma1f0y_, z_pacifist, lu513n, avntka, alfin",Nil
asisctf-quals23-nightjs,['pwn'],spektr.e,Nil
asisctf-quals23-refactor,['crypto'],"Sans, ___apn___, 0xd15c0",Nil
asisctf-quals23-grid,['reverse'],"the_mechanic__, sherlockcheezu",2023-09-23 01:23:49.967000
asisctf-quals23-makes_sense,['web'],"luc_f3r, ma1f0y_, winters.ggs, z_pacifist, l0x.me, avntka, alfin",Nil
asisctf-quals23-scrat,['reverse'],"the_mechanic__, sherlockcheezu, k1n0r4, shinobu5005, crum6s",Nil
asisctf-quals23-text-editor,['pwn'],"tourpran, _r0r1_",2023-09-23 19:10:12.578000
asisctf-quals23-hello_again,['web'],"luc_f3r, ma1f0y_, avntka, alfin",Nil
asisctf-quals23-renamiara,['crypto'],Sans,2023-09-23 19:41:48.881000
asisctf-quals23-bruce_lee,['crypto'],"0xd15c0, dhn5280, Sans, ___apn___",Nil
