Challenge Name,Category,Solved/Attempted by,Solve time
bricsctf24-dolly,['reverse'],"the.m3chanic, sherlockcheezu, retr0ds, heartstoller, jatin.exe, k1n0r4",Nil
bricsctf24-exfilter,['reverse'],"the.m3chanic, retr0ds, heartstoller, jatin.exe, k1n0r4",Nil
bricsctf24-chains,['pwn'],_r0r1_,2024-10-05 21:19:40.966000
bricsctf24-xoshiro256,['crypto'],"___apn___, sans8475, heartstoller, jatin.exe, k1n0r4",Nil
bricsctf24-physler,['pwn'],_r0r1_,2024-10-06 12:01:13.314000
bricsctf24-villa,['web'],"winters0x168, z_pacifist, k0w4lzk1, exigent07, ma1f0y_, h3ri0s, heartstoller, jatin.exe, .d_pro, alfin3313, luc_f3r, k1n0r4, lu513n",Nil
bricsctf24-bigblackcode,['crypto'],"hisoka.fr, sans8475, ___apn___",2024-10-06 14:13:18.286000
bricsctf24-enter_the_void,['reverse'],"azr43lkn1ght, gh0stkn1ght, jl_24, retr0ds",2024-10-06 08:41:04.788000
bricsctf24-shelfing,['misc'],"silence_, _r0r1_, tourpran",2024-10-06 12:35:29.967000
bricsctf24-mirage,['web'],"winters0x168, exigent07, h3ri0s, k0w4lzk1, heartstoller, ma1f0y_, jatin.exe, alfin3313, luc_f3r, k1n0r4, lu513n",Nil
bricsctf24-vortex-user,['pwn'],"silence_, _r0r1_, tourpran, heartstoller, jatin.exe, k1n0r4",Nil
bricsctf24-neplox_wallet,['crypto'],"___apn___, heartstoller, jatin.exe, k1n0r4",Nil
