Challenge Name,Category,Solved/Attempted by,Solve time
cryptoctf23-did_it,['crypto'],"ls.exe, hisoka.fr, Sans, chandukona",2023-07-08 02:47:04.479000
cryptoctf23-suction,['crypto'],"ls.exe, victim1307, hisoka.fr, Sans, dhn5280",2023-07-07 20:38:30.518000
cryptoctf23-blue_office,['crypto'],"ls.exe, hisoka.fr",2023-07-07 20:00:53.737000
cryptoctf23-blobfish,['crypto'],"_d1sc0, victim1307, ls.exe, hisoka.fr, ___apn___, dhn5280, Sans",Nil
cryptoctf23-tpsd,['crypto'],"hisoka.fr, ls.exe",2023-07-08 00:33:12.218000
cryptoctf23-derik,['crypto'],chandukona,2023-07-08 01:22:10.170000
cryptoctf23-risk,['crypto'],"Sans, hisoka.fr, ls.exe, ___apn___, _d1sc0",Nil
cryptoctf23-insights,['crypto'],"ls.exe, hisoka.fr, dhn5280, Sans, ___apn___, _d1sc0",Nil
cryptoctf23-roldy,['crypto'],"ls.exe, victim1307, hisoka.fr",2023-07-08 17:28:57.544000
cryptoctf23-resuction,['crypto'],victim1307,2023-07-08 16:10:32.746000
cryptoctf23-aslv1,['crypto'],"hisoka.fr, ls.exe",2023-07-08 14:32:15.987000
cryptoctf23-aslv2,['crypto'],"ls.exe, hisoka.fr",Nil
cryptoctf23-trex,['crypto'],"victim1307, hisoka.fr, ls.exe, ___apn___",Nil
