Challenge Name,Category,Solved/Attempted by,Solve time
ctfzone-quals23-deskas,['web'],"l0x.me, lu513n, avntka, luc_f3r, z_pacifist, win.ters, ma1f0y_, sk4d, alfin",Nil
ctfzone-quals23-carls_safe_password,['osint'],"sp3p3x, jl911, gh0stkn1ght, sh.4rk, azr43lkn1ght, spektr.e, _b1u33, fr1gh7, ath3n1x, l0x.me, hridhya, ad0lphus, z_pacifist, _r0r1_, 0xd15c0, dhn5280, aparna_11, amunrha",Nil
ctfzone-quals23-rans00kit,['forensics'],"azr43lkn1ght, sp3p3x, sh.4rk, jl911",2023-08-12 23:14:39.516000
ctfzone-quals23-pongo2,['pwn'],"tourpran, _r0r1_, spektr.e, justk1r4",2023-08-12 17:19:57.817000
ctfzone-quals23-right_decision,['crypto'],"___apn___, dhn5280, Sans, 0xd15c0",2023-08-13 07:51:58.369000
ctfzone-quals23-under_construction,['web'],"lu513n, ma1f0y_, l0x.me, win.ters, z_pacifist",2023-08-12 17:58:19.892000
ctfzone-quals23-reversei,['reverse'],ad0lphus,2023-08-12 23:01:05.380000
ctfzone-quals23-strcmp,['reverse'],"shinobu5005, retr0ds, the_mechanic__",2023-08-12 15:39:14.283000
ctfzone-quals23-pwnfinity,['pwn'],"justk1r4, ath3n1x, spektr.e, _r0r1_, tourpran",Nil
ctfzone-quals23-new_apartments,['osint'],"z_pacifist, sp3p3x, sh.4rk, _b1u33, azr43lkn1ght, gh0stkn1ght, l0x.me",2023-08-12 20:21:09.250000
ctfzone-quals23-come_on_feel_the_nonce,['crypto'],"0xd15c0, victim1307, ___apn___, dhn5280, Sans, aparna_11",2023-08-13 15:31:09.900000
ctfzone-quals23-dead_or_alive,['web'],lu513n,2023-08-12 16:21:18.021000
ctfzone-quals23-dead_or_alive2,['web'],"lu513n, z_pacifist",2023-08-12 17:09:40.844000
ctfzone-quals23-rays_big_trip,['osint'],"gh0stkn1ght, jl911, sp3p3x, sh.4rk, _b1u33, spektr.e, hridhya, azr43lkn1ght, z_pacifist, fr1gh7, l0x.me, 0xd15c0, tourpran, _r0r1_, ath3n1x, ad0lphus, ma1f0y_, shinobu5005, _sanaaa_, retr0ds, Sans, dhn5280, aparna_11, amunrha",Nil
ctfzone-quals23-pageless_notebook,['web'],"luc_f3r, z_pacifist, lu513n, l0x.me, win.ters, alfin, sk4d, avntka",Nil
ctfzone-quals23-sigint,['crypto'],"victim1307, ___apn___, Sans, 0xd15c0, dhn5280, aparna_11",Nil
ctfzone-quals23-bounty_the_b4r,['web'],"lu513n, z_pacifist, luc_f3r, ma1f0y_, alfin, win.ters",2023-08-13 01:57:23.716000
ctfzone-quals23-ponexe,['reverse'],"retr0ds, amunrha, ad0lphus, sherlockcheezu",2023-08-13 02:33:40.152000
ctfzone-quals23-hamsters_are_taking_over_the_world,['osint'],"sp3p3x, gh0stkn1ght, _b1u33, ath3n1x, l0x.me, jl911, dhn5280, aparna_11",Nil
ctfzone-quals23-raw_love,['web'],"win.ters, z_pacifist, luc_f3r, lu513n, ma1f0y_, sk4d, avntka, alfin, l0x.me, _sanaaa_",Nil
ctfzone-quals23-delivery_issues,['programming'],"lu513n, ad0lphus, Sans",2023-08-13 11:04:17.076000
ctfzone-quals23-nwjs,['reverse'],"retr0ds, shinobu5005, amunrha, ad0lphus, sherlockcheezu",Nil
ctfzone-quals23-messengerzone,['crypto'],"___apn___, 0xd15c0",Nil
