Challenge Name,Category,Solved/Attempted by,Solve time
mapnactf24-glnq,['crypto'],"aerosol., arch_zero, marvelpokemaster, Sans, hisoka.fr, ___apn___, ls.exe, retr0ds, spektr.e, im._.a.p",Nil
mapnactf24-ninipwn,['pwn'],silence_,2024-01-21 18:13:45.341000
mapnactf24-buggy_paint,['pwn'],"silence_, spektr.e, justk1r4, tourpran, retr0ds, _r0r1_",Nil
mapnactf24-plc1,['forensics'],"jodeeel, a.s.k3052, jl_24, gh0stkn1ght, retr0ds, sp3p3x, spektr.e",Nil
mapnactf24-holding,['web'],"r0h1t.pxh, k0w4lsk1_, exigent07",2024-01-20 20:58:28.534000
mapnactf24-novelreader,['web'],"k0w4lsk1_, exigent07, r0h1t.pxh, z_pacifist, lu513n, retr0ds, luc_f3r, l0x.me, spektr.e, Cap-k",Nil
mapnactf24-plc11,['forensics'],"jodeeel, jl_24, a.s.k3052, gh0stkn1ght, mamathasivakumar, sh.4rk, retr0ds, spektr.e, sp3p3x, azr43lkn1ght",Nil
mapnactf24-compile_me,['reverse'],"r3d_t3mp3st, the.m3chanic, retr0ds, k1n0r4, spektr.e",Nil
mapnactf24-tampered,['forensics'],"a.s.k3052, jodeeel",2024-01-20 21:34:23.359000
mapnactf24-xxg,['forensics'],"a.s.k3052, jodeeel",2024-01-21 19:17:38.875000
mapnactf24-shibs,['crypto'],"arch_zero, aerosol., ___apn___, Sans, retr0ds, spektr.e, im._.a.p",Nil
mapnactf24-what_next_ii,['crypto'],aerosol.,2024-01-21 12:11:50.877000
mapnactf24-mitrek,['forensics'],"a.s.k3052, jodeeel, spektr.e, mamathasivakumar, hrippi.x_, sp3p3x, gh0stkn1ght, jl_24, sh.4rk",Nil
mapnactf24-jsoncutifier,['web'],"exigent07, k0w4lsk1_, r0h1t.pxh",2024-01-21 11:55:35.903000
mapnactf24-protector,['pwn'],"silence_, justk1r4, _r0r1_, heartstoller",Nil
mapnactf24-u2s,['pwn'],"silence_, justk1r4, _r0r1_",Nil
mapnactf24-be_fast,['crypto'],"arch_zero, aerosol., marvelpokemaster, ___apn___, hisoka.fr, im._.a.p",Nil
mapnactf24-purify,['web'],"k0w4lsk1_, winters0x168, exigent07, z_pacifist, ma1f0y_, lu513n, r0h1t.pxh, spektr.e",Nil
