Challenge Name,Category,Solved/Attempted by,Solve time
htbuniversity23-great_old_talisman,['pwn'],_r0r1_,2023-12-09 11:55:32.206000
htbuniversity23-zombienator,['pwn'],"_r0r1_, spektr.e",2023-12-09 16:02:28.284000
htbuniversity23-windowsofopportunity,['reverse'],"k1n0r4, the.m3chanic, tourpran, xbr01, justk1r4",Nil
htbuniversity23-biobundle,['reverse'],k1n0r4,2023-12-08 18:46:38.132000
htbuniversity23-zombiedote,['pwn'],"tourpran, spektr.e",2023-12-09 11:45:24.211000
htbuniversity23-risefromthedead,['reverse'],"the.m3chanic, retr0ds, k1n0r4, sherlockcheezu",2023-12-08 22:09:15.246000
htbuniversity23-mss,['crypto'],ls.exe,2023-12-08 18:55:59.642000
htbuniversity23-zombie_rolled,['crypto'],"ls.exe, Sans, ___apn___, im._.a.p, hisoka.fr",Nil
htbuniversity23-mayday_mayday,['crypto'],"ls.exe, ___apn___, im._.a.p, Sans, hisoka.fr",Nil
htbuniversity23-one_step_closer,['forensics'],"azr43lkn1ght, z_pacifist, sh.4rk, retr0ds, the.m3chanic, gh0stkn1ght, sherlockcheezu",2023-12-08 22:59:06.462000
htbuniversity23-zombienet,['forensics'],"sh.4rk, gh0stkn1ght, azr43lkn1ght, sp3p3x, jl_24, the.m3chanic, spektr.e",Nil
htbuniversity23-shadow,['forensics'],"sh.4rk, gh0stkn1ght, azr43lkn1ght, sp3p3x, jl_24",Nil
htbuniversity23-gatecrash,['web'],"luc_f3r, winters0x168, z_pacifist, l0x.me",2023-12-09 12:02:49.475000
htbuniversity23-apethanto,['pentest'],"z_pacifist, r0h1th_v4rm4, tr4c3734, .d_pro, drunknb0tch, 0kay4nu, xbr01",Nil
htbuniversity23-nexusvoid,['web'],"winters0x168, luc_f3r, z_pacifist, l0x.me",2023-12-09 20:54:48.846000
htbuniversity23-phantomfeed,['web'],"z_pacifist, luc_f3r, winters0x168, l0x.me",Nil
htbuniversity23-mss_revenge,['crypto'],ls.exe,2023-12-10 11:51:47.801000
