Challenge Name,Category,Solved/Attempted by,Solve time
nahamcon-ctf23-perfectly-disinfected,['forensics'],sp3p3x,2023-06-16 01:06:57.599000
nahamcon-ctf23-jninjaspeak,['pentest'],drunken_betch,2023-06-16 01:15:00.918000
nahamcon-ctf23-rsa-intro,['crypto'],APN,2023-06-16 01:10:30.567000
nahamcon-ctf23-raided,['forensics'],"Azr43lKn1ght, sp3p3x, Jl, w3!RD5h4rk, B1u33, g4rud4",Nil
nahamcon-ctf23-fortune_teller,['android'],drunken_betch,2023-06-16 01:49:55.181000
nahamcon-ctf23-just-one-more,['crypto'],Hisoka,2023-06-16 11:28:46.108000
nahamcon-ctf23-fetch,['forensics'],"w3!RD5h4rk, Azr43lKn1ght",2023-06-16 18:04:37.837000
nahamcon-ctf23-rsa_outro,['crypto'],APN,2023-06-16 02:05:54.857000
nahamcon-ctf23-red_light_green_light,['android'],drunken_betch,2023-06-16 01:40:21.080000
nahamcon-ctf23-goose-chase,['misc'],"sp3p3x, Jl",2023-06-16 22:32:27.161000
nahamcon-ctf23-signed_jeopardy,['crypto'],"Hisoka, ls.exe, dhN, Sans",Nil
nahamcon-ctf23-geosint,['osint'],"Azr43lKn1ght, drunken_betch, sp3p3x",2023-06-16 16:00:23.189000
nahamcon-ctf23-writeright,['reverse'],"k1n0r4, retr0ds, Sherlock Cheezu, th3mech4n1c, AmunRha",Nil
nahamcon-ctf23-ir,['forensics'],"Azr43lKn1ght, w3!RD5h4rk",2023-06-16 16:17:54.992000
nahamcon-ctf23-stickers,['web'],Aneesh,2023-06-16 13:05:15.286000
nahamcon-ctf23-wheres-waldo,['android'],drunken_betch,2023-06-16 18:29:18.355000
nahamcon-ctf23-limitations,['pwn'],"spektre, fr1gh7",2023-06-16 13:37:47.819000
nahamcon-ctf23-starwars,['web'],"z_pacifist, L0xm1",2023-06-16 17:23:11.587000
nahamcon-ctf23-nahmnahmnahm,['pwn'],"k1R4, spektre, fr1gh7, k1R4",2023-06-16 18:26:28.813000
nahamcon-ctf23-obligatory,['web'],"z_pacifist, L0xm1",2023-06-16 18:06:48.621000
nahamcon-ctf23-transfer,['web'],sk4d,2023-06-16 18:54:13.679000
nahamcon-ctf23-nahamstagram,['android'],"drunken_betch, w3!RD5h4rk, Azr43lKn1ght",Nil
nahamcon-ctf23-marmalade_5,['web'],"z_pacifist, L0xm1, Aneesh, Hisoka",2023-06-16 22:28:52.997000
nahamcon-ctf23-oboe,['pwn'],"spektre, fr1gh7, k1R4, rori, tourpran",Nil
nahamcon-ctf23-all-patched-up,['pwn'],"tourpran, fr1gh7, spektre",Nil
nahamcon-ctf23-the_sandbox,['reverse'],AmunRha,2023-06-17 03:51:58.914000
nahamcon-ctf23-no-big-deal,['pentest'],"Rav3nf0, drunken_betch, w3!RD5h4rk, Azr43lKn1ght",Nil
nahamcon-ctf23-flow,['misc'],drunken_betch,2023-06-17 15:31:50.533000
nahamcon-ctf23-forge_me1,['crypto'],"Sans, Hisoka",Nil
nahamcon-ctf23-forge_me2,['crypto'],"Sans, Hisoka, dhN",Nil
nahamcon-ctf23-wizard,['reverse'],"th3mech4n1c, Sherlock Cheezu, AmunRha",Nil
nahamcon-ctf23-mayhem,['reverse'],"th3mech4n1c, AmunRha",Nil
