Challenge Name,Category,Solved/Attempted by,Solve time
kalmarctf23-babyonetimepad,crypto,LS,2023-03-04 03:08:32.075000
kalmarctf23-cards,forensics,"w3!rd5h4rk, Azr43lKn1ght",2023-03-04 14:37:55.027000
kalmarctf23-sewing_waste,forensics,stuxn3t,2023-03-04 00:46:01.627000
kalmarctf23-ez,web,Z_Pacifist,2023-03-04 00:25:13.630000
kalmarctf23-mjs,pwn,"DarkKnight, spektre",2023-03-04 16:16:12.313000
kalmarctf23-robber,pwn,"k1R4, Ritvik, spektre",Nil
kalmarctf23-invoiced,web,Az3z3l,2023-03-04 10:03:27.099000
kalmarctf23-healthycalc,web,"Aneesh, Lu513n, alfin, Z_Pacifist, sk4d, Az3z3l",Nil
kalmarctf23-easyonetimepad,crypto,"LS, victim1307, Abhishek Bharadwaj, DhN, Hisoka, chandu-kona",Nil
kalmarctf23-2cool4school,web,"Aneesh, Lu513n, Z_Pacifist, alfin, sk4d",Nil
kalmarctf23-jsbs,pwn,"DarkKnight, spektre, k1R4",Nil
kalmarctf23-fipc,pwn,k1R4,Nil
kalmarctf23-llehsynit,forensics,w3!rd5h4rk,2023-03-04 23:02:39.978000
kalmarctf23-password-homecoming,web,"Aneesh, alfin, Z_Pacifist, Lu513n",Nil
