Challenge Name,Category,Solved/Attempted by,Solve time
starctf23-jwt2struts,['web'],"ma1f0y_, sk4d, z_pacifist, win.ters, lu513n, luc_f3r, Sayooj B Kumar",Nil
starctf23-gogpt,['reverse'],"ma1f0y_, jatin.exe, shinobu5005, sherlockcheezu, the_mechanic__",Nil
starctf23-ezcrypto,['crypto'],"ma1f0y_, ___apn___, victim1307, lu513n, ls.exe, the_mechanic__, 0xd15c0, Sans",Nil
starctf23-fcalc,['pwn'],"ma1f0y_, ath3n1x, justk1r4, _r0r1_, spektr.e, tourpran",Nil
starctf23-snippingtools,['misc'],"ma1f0y_, azr43lkn1ght, sh.4rk, gh0stkn1ght, _b1u33, jl911",Nil
starctf23-boring_cipher,['reverse'],"lu513n, the_mechanic__",Nil
starctf23-flagfile,['reverse'],crum6s,2023-07-30 00:31:24.396000
starctf23-simplex-wmm,['reverse'],"lu513n, shinobu5005",Nil
starctf23-ez_code,['reverse'],"lu513n, the_mechanic__, shinobu5005, sherlockcheezu",Nil
starctf23-gcccd,['crypto'],"lu513n, ___apn___, Sans",Nil
starctf23-drop,['pwn'],"ma1f0y_, ath3n1x, justk1r4, _r0r1_, spektr.e, tourpran",Nil
starctf23-s1dh,['crypto'],"lu513n, ___apn___",Nil
starctf23-mwm,"['misc', 'ai']","lu513n, jatin.exe, _b1u33, sh.4rk",Nil
starctf23-starvm,['pwn'],"ma1f0y_, ath3n1x, justk1r4, _r0r1_, spektr.e, tourpran",Nil
starctf23-ray_tracing,['misc'],"lu513n, _b1u33, sh.4rk",Nil
starctf23-dead_game,['misc'],"lu513n, _b1u33",Nil
starctf23-old_language,['misc'],"lu513n, _b1u33",Nil
starctf23-increasing,['misc'],lu513n,Nil
