Challenge Name,Category,Solved/Attempted by,Solve time
compfest24-brainrot_song_library,['pwn'],"tourpran, heartstoller, silence_, theb4tmite",2024-09-08 13:13:45.986000
compfest24-siak-og,['web'],h3ri0s,2024-09-08 06:16:49.882000
compfest24-industrialspy,['forensics'],kr4z31n,2024-09-08 07:33:00.089000
compfest24-loss,['forensics'],"kr4z31n, __m1m1__, silence_, 5h4rrk, azr43lkn1ght, jl_24, gh0stkn1ght, sp3p3x, k0w4lzk1",Nil
compfest24-sigmacode,['misc'],kr4z31n,2024-09-08 07:50:24.004000
compfest24-headsup,['forensics'],"gh0stkn1ght, kr4z31n, __m1m1__, azr43lkn1ght, sp3p3x, jl_24",2024-09-08 13:44:20.020000
compfest24-money_gone_wallet_also_gone,['crypto'],___apn___,2024-09-08 11:00:52.204000
compfest24-the_dumb_hacker,['forensics'],"kr4z31n, azr43lkn1ght, gh0stkn1ght, __m1m1__, jl_24, sp3p3x",2024-09-08 13:21:42.762000
compfest24-return-to-me,['pwn'],silence_,2024-09-08 09:54:17.081000
compfest24-gampanglah,['pwn'],"silence_, heartstoller, theb4tmite",2024-09-08 11:23:46.708000
compfest24-brainrot_song_libraryv2,['pwn'],"_r0r1_, tourpran",2024-09-08 23:25:30.349000
compfest24-chicken-daddy,['web'],h3ri0s,2024-09-08 10:37:42.921000
compfest24-prime_rotation,['crypto'],"___apn___, hisoka.fr, arch_zero, silence_, ls.exe, k0w4lzk1, sans8475",Nil
compfest24-copasbin,['web'],"z_pacifist, k0w4lzk1, h3ri0s",2024-09-08 13:11:04.628000
compfest24-equivalent-exchange,['reverse'],"the.m3chanic, kndn, ls.exe, hisoka.fr",2024-09-08 22:24:07.441000
compfest24-edit_distance_0,['misc'],hisoka.fr,2024-09-08 15:12:54.460000
compfest24-card,['osint'],"silence_, theb4tmite, heartstoller, kr4z31n, __m1m1__",2024-09-08 15:20:27.034000
compfest24-matrix,['reverse'],k1n0r4,2024-09-08 15:22:56.186000
compfest24-jump,['reverse'],"k1n0r4, silence_, k0w4lzk1, the.m3chanic, heartstoller, sherlockcheezu, kndn, retr0ds",Nil
compfest24-open_source_wallet,['osint'],"gh0stkn1ght, z_pacifist, kr4z31n, __m1m1__, silence_, komalrao, h3ri0s, k0w4lzk1, hrippi.x_",Nil
compfest24-low_level,['reverse'],"retr0ds, k1n0r4",Nil
