Challenge Name,Category,Solved/Attempted by,Solve time
asis_finals23-white_and_black,['forensics'],"sp3p3x, sh.4rk, jl_24, gh0stkn1ght, hrippi.x_",2023-12-30 01:46:01.344000
asis_finals23-phphphphphp,['web'],"z_pacifist, l0x.me, winters0x168, lu513n, alfin, .d_pro, r0h1th_v4rm4, ma1f0y_, sk4d",Nil
asis_finals23-dadci,['reverse'],"the.m3chanic, sherlockcheezu, amunrha",2023-12-30 10:25:01.886000
asis_finals23-akin,['reverse'],"the.m3chanic, retr0ds, k1n0r4, xbr01, justk1r4, jatin.exe",Nil
asis_finals23-easy_risky,['reverse'],"the.m3chanic, retr0ds, sherlockcheezu, k1n0r4, amunrha, xbr01, sp3p3x, justk1r4, jatin.exe",Nil
asis_finals23-gimme_csp,['web'],"z_pacifist, alfin, l0x.me",2023-12-29 20:39:42.439000
asis_finals23-demidovich,['crypto'],"ls.exe, ___apn___, hisoka.fr, im._.a.p, abhishekbharadwaj, Sans",Nil
asis_finals23-larisa,['crypto'],"hisoka.fr, ls.exe, Sans, ___apn___, abhishekbharadwaj",2023-12-30 19:57:04.675000
asis_finals23-pupptear,['web'],"l0x.me, ma1f0y_, z_pacifist, alfin, sk4d, lu513n, winters0x168",Nil
asis_finals23-gameofluck,['pwn'],"_r0r1_, justk1r4, tourpran",2023-12-30 00:26:39.446000
asis_finals23-backdooredness,['pwn'],"justk1r4, _r0r1_, tourpran, ath3n1x",Nil
asis_finals23-iswebpjs,['pwn'],"spektr.e, justk1r4, tourpran, _r0r1_, ath3n1x",Nil
asis_finals23-catfinder,['web'],"winters0x168, z_pacifist, l0x.me, alfin, lu513n, ma1f0y_",Nil
asis_finals23-text-editor,['pwn'],justk1r4,2023-12-30 06:45:23.671000
asis_finals23-sorlon,['reverse'],"the.m3chanic, amunrha, retr0ds, br34dcrumb, k1n0r4, jatin.exe",Nil
asis_finals23-m7p,['crypto'],"___apn___, Sans, im._.a.p, jl_24, sh.4rk, ls.exe",Nil
asis_finals23-noisyless,['reverse'],"sherlockcheezu, k1n0r4, br34dcrumb, retr0ds, justk1r4, jatin.exe, amunrha",Nil
asis_finals23-sayeha,['web'],ma1f0y_,2023-12-30 18:48:17.855000
