Challenge Name,Category,Solved/Attempted by,Solve time
lakectf23-digestif,['web'],"alfin, winters.ggs, avntka, luc_f3r",2023-11-05 16:39:20.079000
lakectf23-vimjail,['misc'],"gh0stkn1ght, z_pacifist, Sans, jl911, sh.4rk, ma1f0y_, lu513n, ls.exe, hisoka.fr, spektr.e, aparna_11, azr43lkn1ght, dhn5280, justk1r4, winters.ggs, xbr01, tourpran, _r0r1_",Nil
lakectf23-capture_the_flaaaaaaaaaaaaag,['pwn'],tourpran,2023-11-05 02:12:07.199000
lakectf23-scream_into_the_abyss,['pwn'],"_r0r1_, tourpran",2023-11-05 02:36:51.122000
lakectf23-cyber_library,['web'],lu513n,2023-11-05 04:28:25.122000
lakectf23-random_rsa,['crypto'],ls.exe,2023-11-05 01:02:39.594000
lakectf23-vigenere_cbc,['crypto'],"ls.exe, Sans",2023-11-05 01:43:07.737000
lakectf23-dive_in_the_lake,['reverse'],"jatin.exe, the_mechanic__, sherlockcheezu, retr0ds, k1n0r4, amunrha, Sans",Nil
lakectf23-keysharer,['crypto'],ls.exe,2023-11-05 04:57:31.871000
lakectf23-choices,['crypto'],"ls.exe, Sans, hisoka.fr, aparna_11, dhn5280, ___apn___, jatin.exe",Nil
lakectf23-funtran,['reverse'],jatin.exe,2023-11-05 06:21:09.777000
lakectf23-not_malloc,['pwn'],"spektr.e, justk1r4, tourpran, ath3n1x, _r0r1_, jatin.exe",Nil
lakectf23-thegoodgod,['reverse'],"the_mechanic__, retr0ds, sherlockcheezu, jatin.exe, amunrha",Nil
lakectf23-pingpong,['misc'],"aparna_11, gh0stkn1ght, justk1r4, jatin.exe",Nil
lakectf23-trustmee,['pwn'],"spektr.e, justk1r4, _r0r1_",Nil
lakectf23-geo_guessy,['web'],"luc_f3r, avntka, alfin, winters.ggs, l0x.me, ma1f0y_, jatin.exe",Nil
