Challenge Name,Category,Solved/Attempted by,Solve time
hsctf23-mogodb,['web'],"Winters, Luc1f3r, Z_Pacifist",2023-06-05 18:29:11.575000
hsctf23-packet-hero,['misc'],"sp3p3x, Azr43lKn1ght, w3!RD5h4rk, gh0stkn1ght, B1u33, Jl, k1R4, Z_Pacifist, Aneesh",Nil
hsctf23-really-small-algorithm,['crypto'],APN,2023-06-05 17:22:06.838000
hsctf23-double-trouble,['crypto'],Sans,2023-06-05 17:16:04.908000
hsctf23-cupcakes,['crypto'],Sans,2023-06-05 17:22:03.922000
hsctf23-casino,['crypto'],"LS, Sans, APN",2023-06-05 19:15:43.053000
hsctf23-spring,['crypto'],LS,2023-06-06 13:31:11.073000
hsctf23-cosmic-ray,['crypto'],"APN, Sans, LS, d1sc0, Hisoka, dhN",Nil
hsctf23-java,['reverse'],th3mech4n1c,2023-06-05 17:34:06.012000
hsctf23-ed,['pwn'],"rori, ath3n1x",2023-06-05 18:52:53.893000
hsctf23-mysterymethords,['reverse'],Sherlock Cheezu,Nil
hsctf23-an-inaccessible-admin-panel,['web'],"Winters, Luc1f3r, Z_Pacifist",2023-06-05 18:10:53.713000
hsctf23-keygen,['reverse'],Sherlock Cheezu,2023-06-05 18:04:29.174000
hsctf23-godzilla,['reverse'],th3mech4n1c,2023-06-05 18:16:46.213000
hsctf23-producing-3s,['misc'],"LS, tourpran, spektre, rori, k1R4",2023-06-06 21:59:54.304000
hsctf23-very-secure,['web'],"Luc1f3r, Winters, Z_Pacifist",2023-06-05 19:16:40.483000
hsctf23-flag-shop,['web'],"Winters, Luc1f3r, Z_Pacifist",2023-06-05 22:13:38.269000
hsctf23-banana-queries,['misc'],spektre,2023-06-06 13:28:50.679000
hsctf23-fancy_page,['web'],"Winters, Luc1f3r",2023-06-05 20:51:01.141000
hsctf23-mystery,['reverse'],"Sherlock Cheezu, th3mech4n1c",2023-06-05 20:24:11.428000
hsctf23-micrurus-fulvius,['reverse'],"retr0ds, tourpran, th3mech4n1c, Sherlock Cheezu",2023-06-06 20:33:05.957000
hsctf23-ex,['pwn'],tourpran,2023-06-06 10:07:28.505000
hsctf23-cat,['pwn'],tourpran,2023-06-06 11:44:50.796000
hsctf23-doubler,['pwn'],tourpran,2023-06-06 11:53:44.783000
hsctf23-west_side_story,['web'],"Winters, Z_Pacifist",2023-06-06 20:28:56.794000
hsctf23-trios,['crypto'],LS,2023-06-06 17:13:58.605000
hsctf23-order,['crypto'],"LS, Sans, Hisoka, dhN",2023-06-06 20:18:01.651000
hsctf23-broken-calculator,['misc'],rori,2023-06-06 18:23:57.692000
hsctf23-bank,['misc'],spektre,2023-06-06 16:09:47.279000
hsctf23-revrevrev,['reverse'],tourpran,2023-06-06 16:58:24.971000
hsctf23-vulpes-vulpes,['misc'],"Z_Pacifist, spektre, LS, Winters",2023-06-07 19:01:22.560000
hsctf23-fast-forward,['misc'],Aneesh,2023-06-08 14:18:26.414000
hsctf23-creditcard,['reverse'],"Sherlock Cheezu, shinobu, AmunRha, th3mech4n1c, retr0ds, Sans, Hisoka, LS, tourpran, d1sc0, spektre, rori, APN, Z_Pacifist",Nil
hsctf23-recursed,['reverse'],"th3mech4n1c, shinobu, Sherlock Cheezu",Nil
hsctf23-fancier-page,['web'],"Lu513n, Aneesh",2023-06-07 21:18:46.085000
hsctf23-stone-games,['misc'],"spektre, tourpran, Z_Pacifist, LS, k1R4, Hisoka, Lu513n, APN, rori, ath3n1x, B1u33, gh0stkn1ght",Nil
hsctf23-xor-trickery,['misc'],"APN, spektre, Aneesh, d1sc0, LS, k1R4, Z_Pacifist, Lu513n",Nil
hsctf23-picture-pin-pointing,['misc'],"spektre, Z_Pacifist, Hisoka, LS",2023-06-06 23:12:37.645000
hsctf23-largest-flagpole,['misc'],"spektre, k1R4, Z_Pacifist, Lu513n, ath3n1x, gh0stkn1ght, APN, LS, Hisoka",Nil
hsctf23-png-wizard-v3,['web'],"Lu513n, Aneesh, Winters, alfin, Z_Pacifist, sk4d, Av4nth1ka",Nil
hsctf23-fast-forward-v2,['misc'],"k1R4, Aneesh",2023-06-08 16:44:20.320000
